inputName,size
11,22
19,6
12,10
38,12
81,30
5,24
40,31
70,25
23,5
72,28
79,25
78,23
87,18
6,14
68,14
69,26
1,11
45,23
33,21
15,30
93,12
24,8
25,15
26,10
48,27
71,24
76,4
7,3
50,10
22,16
4,4
32,30
77,27
91,2
42,29
13,30
41,24
55,27
31,32
66,16
65,23
62,15
21,17
95,13
84,16
58,26
64,18
83,25
94,8
0,23
99,18
96,8
67,14
61,22
43,13
2,19
54,24
30,23
59,27
85,21
74,2
90,27
18,5
52,15
44,15
17,2
36,23
49,4
86,31
37,2
56,30
63,18
35,13
97,25
75,28
57,8
88,13
10,5
53,4
8,24
39,19
47,27
60,19
89,3
51,17
14,9
28,23
16,30
34,23
82,12
46,11
27,16
20,16
9,10
92,26
3,17
98,10
29,26
80,21
73,24
