inputName,n
values_11,15
values_19,28
values_12,25
values_38,25
values_81,17
values_5,28
values_40,30
values_70,11
values_23,9
values_72,20
values_79,30
values_78,30
values_87,30
values_6,15
values_68,27
values_69,32
values_1,13
values_45,12
values_33,23
values_15,17
values_93,19
values_24,17
values_25,22
values_26,9
values_48,20
values_71,13
values_76,13
values_7,25
values_50,20
values_22,18
values_4,24
values_32,29
values_77,26
values_91,24
values_42,20
values_13,29
values_41,3
values_55,23
values_31,8
values_66,30
values_65,16
values_62,30
values_21,14
values_95,28
values_84,11
values_58,5
values_64,5
values_83,7
values_94,24
values_0,17
values_99,2
values_96,22
values_67,15
values_61,32
values_43,9
values_2,31
values_54,2
values_30,19
values_59,7
values_85,6
values_74,5
values_90,29
values_18,22
values_52,17
values_44,13
values_17,10
values_36,25
values_49,31
values_86,19
values_37,28
values_56,18
values_63,3
values_35,31
values_97,10
values_75,32
values_57,11
values_88,24
values_10,26
values_53,7
values_8,27
values_39,19
values_47,7
values_60,7
values_89,24
values_51,29
values_14,27
values_28,32
values_16,5
values_34,9
values_82,21
values_46,12
values_27,30
values_20,17
values_9,29
values_92,28
values_3,10
values_98,29
values_29,12
values_80,2
values_73,28
