inputName,val
11,1329318627
19,1060338966
12,1139187739
38,861975426
81,364289139
5,1327186857
40,1030791297
70,430238306
23,1656386870
72,317242378
79,616490067
78,342495913
87,305604990
6,1018093601
68,686602709
69,1913605469
1,54187975
45,2138772967
33,154638551
15,1084479463
93,1268999137
24,303743744
25,1685543382
26,1573503204
48,385718141
71,2144084107
76,1643111793
7,1456507147
50,1013446551
22,641232185
4,501625913
32,56422514
77,467187226
91,1295529540
42,1743156245
13,2131186217
41,263650049
55,707186036
31,685683684
66,1242946573
65,1445958844
62,435196572
21,1434477408
95,1566698198
84,2716257
58,1052745788
64,1228258973
83,399631256
94,1268729838
0,623122999
99,562722370
96,54933961
67,1123229481
61,1494481742
43,517336124
2,193563964
54,10078548
30,1323344212
59,978600864
85,356467409
74,807645643
90,1570647704
18,280690239
52,1591974728
44,1949959111
17,1629469124
36,751831904
49,911076046
86,922043958
37,1053797065
56,1665735889
63,308610793
35,1158327874
97,1383511998
75,1369593262
57,1437224619
88,1872090588
10,1635629770
53,1587504753
8,1611415941
39,2034768620
47,2086850700
60,392844864
89,1088216476
51,470859083
14,1807956534
28,1097660598
16,1753976110
34,1280620189
82,159813589
46,781376997
27,215856629
20,620358647
9,2010157192
92,1947293806
3,2113550152
98,1847686849
29,1855405897
80,402636506
73,386608282
