inputName,val
11,116
19,63
12,23
38,60
81,11
5,67
40,52
70,106
23,44
72,55
79,115
78,63
87,19
6,41
68,19
69,103
1,116
45,97
33,59
15,9
93,26
24,78
25,19
26,89
48,109
71,48
76,62
7,68
50,16
22,43
4,51
32,78
77,8
91,15
42,10
13,105
41,25
55,82
31,65
66,100
65,69
62,102
21,75
95,113
84,67
58,123
64,100
83,50
94,49
0,99
99,91
96,33
67,57
61,104
43,94
2,115
54,107
30,67
59,107
85,10
74,20
90,112
18,44
52,3
44,66
17,46
36,9
49,23
86,82
37,3
56,121
63,79
35,104
97,124
75,7
57,28
88,82
10,68
53,46
8,72
39,111
47,28
60,88
89,67
51,3
14,92
28,106
16,105
34,125
82,27
46,101
27,125
20,18
9,94
92,47
3,92
98,35
29,90
80,22
73,23
