inputName,k
11,95
19,95
12,95
38,153
81,28
5,37
40,159
70,42
23,101
72,42
79,42
78,42
87,28
6,37
68,48
69,48
1,37
45,159
33,153
15,95
93,133
24,101
25,101
26,101
48,159
71,42
76,42
7,37
50,61
22,101
4,37
32,153
77,42
91,133
42,159
13,95
41,159
55,61
31,153
66,48
65,48
62,48
21,101
95,133
84,28
58,61
64,48
83,28
94,133
0,37
99,133
96,133
67,48
61,48
43,159
2,37
54,61
30,153
59,61
85,28
74,42
90,133
18,95
52,61
44,159
17,95
36,153
49,159
86,28
37,153
56,61
63,48
35,153
97,133
75,42
57,61
88,28
10,95
53,61
8,37
39,153
47,159
60,48
89,28
51,61
14,95
28,101
16,95
34,153
82,28
46,159
27,101
20,101
9,37
92,133
3,37
98,133
29,101
80,28
73,42
