inputName,size,arr[size]
values_11,14,"{8472031013711427924, -1525200860569966986, -1862171301362339648, -1859118328232385526, -655955982627103128, 3381722713641675194, 1342968537020085904, 8560250887332253273, -6721552486987721002, 5963493056913770394, -2343858544029358421, 695426424765833306, 3739777264677471181, 1912906526637061251"
values_19,13,"{6141750297260852217, 2466400129591173386, -1733598404269045214, 7021223309982978213, -1061015785188758494, 1291393401585238635, -5400918708017435281, 5620084573821487849, -7102416786878347224, 2238505071923089418, -7691750491314079412, 372321678923978894, -8336837307517698880"
values_12,7,"{-4941203458688592103, 6101793326635166753, -4967748837287541746, 1218904395617363488, 2844291686856796756, -1535780445929059992, 6686237329887139881"
values_38,19,"{-5219971883803759841, 5719636276026598609, -6034495939310934499, -6342115019201030804, -266496533292227897, -728028583451593405, -6641310563452136343, -312740844307709913, -8551962655900708892, -2281212928872825044, -5777545132083271561, 2659189022096826461, 5923574953321438262, 4856353614867688915, 6729412183620204781, 7432509147347757224, 1106466019138314193, -8332051418886957971, 6643066101445933762"
values_81,4,"{785617707742429815, 2484574958736246346, -2535701469456157059, -7974432519708805476"
values_5,11,"{737334257584956041, -4626975775150512079, 2512837855669725338, -6452137288233187595, -1555915804554255515, -710448710350088636, -3551239431189356630, 1394057669051457744, -2527770733575910556, -1705646143740467217, -677044089383292394"
values_40,17,"{3803154698439631602, 4800098057130975813, -3827318475552800921, 2800177666030261907, -1300503162601840825, -2710731597008164853, -7416208831837231887, 3425018768158797514, -4231948637222895918, 2048280807941201198, 7326720500484950881, 4041696351178033953, -1608025148309775548, -6848853282776994829, -4817533531050032968, 6587289594543129114, 420565704168607484"
values_70,20,"{-117703438125700341, 7471244298046983809, -2016749930838949148, 7754315459507263358, 3120227306186944709, -4526609088872225515, 6021215121304234251, -6286532898069764821, -4882720586784231437, 3087917569222624719, 4577030083036403672, -5473315952658152542, 8275432765380923597, -8204547765629699179, -2543904295611276441, 4098107015676360935, 8256170750898315533, -1886043071281815776, -568132101745647925, 1822975407993565827"
values_23,30,"{8209676060093116593, -3732121484463496655, -5914192992280368422, -283650694711074944, 3265160409201929618, 7791116935165068748, -1611026676631879949, -1552165672223263025, -9064128468919994094, -8008156165049985820, 3180826678432316428, -8269777641851206160, 3164509068405654196, -5744934030174277478, -8188432558087766566, 3619606731180197107, 6979381480369678616, 7509214029408543984, -4161321947061136896, -3130808034408634999, 3641242866253343214, 6734169953884562090, -5779090513084388530, 4079273543343700749, 6915408940249969537, 2189179693625417292, 5899213628054222725, -1320179381472346681, 1557921681538294308, -7365620587109936144"
values_72,15,"{-7431939590503100801, 6842647187730723349, -8627299857814427207, -2183676935749579033, -7284334610398836224, -9137393142690502943, -1305482232047828222, -8905067086927228079, -460959674196914768, -3294225492420909204, 3286078485480232081, 2723423758552490303, 744249836703462036, -5930858466452824228, -1836983939092337880"
values_79,3,"{-3534543297800531296, 3654755379986477312, -6062644832855043466"
values_78,14,"{114642742223604166, 8924734171677081081, -7659496565191996299, -5807730956065784592, 2213088638389054526, 7003605704125418422, -7295236410718648004, 1893895193404982073, 6488902613163103563, 837502656760409632, 7137138808924502510, 7627891848008038516, 6381963953091488655, -2093562457452698798"
values_87,8,"{-8640047030911589189, -6300276256540567712, 9178297735061133599, 9085545188336107500, 3058328726579718931, 1492705980873081961, -688077329881979230, -3515765469144149861"
values_6,5,"{-1841827615570321686, 5484758842796880504, 5116413915522639704, 7815389484719394423, -2349268102344872134"
values_68,14,"{-3946066918154773020, -2149345262968505362, -7085006462624864779, 3714247507201637093, -1286002800695274781, 5093392782765849765, 7122712184154267513, 1252857657158022780, 1063291025622826196, -615179908571100791, -3208165440617486154, 4070685262464936817, -6008240979873572179, 5042363051237668787"
values_69,21,"{4191102274452955993, 6816192178476559203, -1281894687088148403, -2230927795952886361, 948099492990363735, -7796602774859932550, -5682825191061125582, 2855249162621631461, -2325227640897054144, -690452916093488801, 271883945029190796, 6144352642037081829, 97332695439026639, 321849845389052172, -6070825792370539554, -7407948420534558689, -2796769394515446569, -6839181633299737275, -5882240275095007448, 8426272282442641267, -2909500556884644637"
values_1,14,"{7591235471216290533, -4103499636726642554, 8176500703155350194, 400168962613850041, -6939725068774566212, 1901509336212764086, 4291206603727186241, 2173217601247821059, 8916028060499241008, 7327873469604239894, -8112456256074052898, 1863791237932033902, 3784157402352649895, -7098288264778807516"
values_45,2,"{3320028434147972521, -7924145730828027470"
values_33,17,"{-5810709969083338809, -932599625095287395, -4631391296858610139, -3370993999250656004, 5295140020016213767, -1150552857444618861, 4436954786568434366, -2505228290865269531, 6991554538878766923, -655513814234643680, -3068271645374560716, 7892965295787719418, -4890501294460836977, -5693991551075950450, -6933870239007204145, 9190601044965032047, -8846629458059118740"
