inputName,n
values_11,1709292127
values_19,1427743349
values_12,861337267
values_38,200988516
values_81,681828921
values_5,632222573
values_40,374323393
values_70,1902703888
values_23,309799
values_72,227656827
values_79,1769751500
values_78,881376947
values_87,1338285582
values_6,4155599
values_68,419923107
values_69,722033848
values_1,1201585541
values_45,2011634103
values_33,2145291640
values_15,1469205767
values_93,728879902
values_24,268881640
values_25,1524328897
values_26,877195298
values_48,1062827380
values_71,546973239
values_76,969537612
values_7,1545420389
values_50,1238286541
values_22,935454401
values_4,1378214646
values_32,314060125
values_77,1621948142
values_91,307694536
values_42,1631792401
values_13,994726088
values_41,338854286
values_55,1735708624
values_31,2014738619
values_66,1872841522
values_65,1392437350
values_62,1677156136
values_21,1842979309
values_95,197893152
values_84,1029288946
values_58,905052669
values_64,226477990
values_83,289516967
values_94,413144338
values_0,160981195
values_99,144553190
values_96,1342015479
values_67,2086330689
values_61,216873341
values_43,1296323933
values_2,151420624
values_54,1685259394
values_30,1734180725
values_59,1495346962
values_85,2007250392
values_74,1572367370
values_90,479917125
values_18,1584883682
values_52,2013323961
values_44,625780520
values_17,1725730061
values_36,1565981701
values_49,1587549007
values_86,799769001
values_37,631659121
values_56,1503232982
values_63,1572061057
values_35,917201985
values_97,75396680
values_75,1002678920
values_57,292702362
values_88,1764249405
values_10,1657477051
values_53,1052797079
values_8,22749848
values_39,359880742
values_47,1617185432
values_60,2045550905
values_89,1467612767
values_51,727972897
values_14,2060357475
values_28,867830463
values_16,2053029481
values_34,1118532199
values_82,199135651
values_46,1570364732
values_27,1305302960
values_20,1945247781
values_9,1104497465
values_92,768885984
values_3,938760675
values_98,150172596
values_29,605986727
values_80,2045094379
values_73,1435231167
