inputName,val
values_11,25089
values_19,20307
values_12,12693
values_38,29592
values_81,16869
values_5,13289
values_40,12693
values_70,8655
values_23,4882
values_72,27142
values_79,21520
values_78,22419
values_87,1715
values_6,24366
values_68,26746
values_69,26503
values_1,12207
values_45,21149
values_33,29332
values_15,30842
values_93,16081
values_24,15092
values_25,9630
values_26,4105
values_48,29208
values_71,24051
values_76,10315
values_7,29684
values_50,18506
values_22,2142
values_4,18005
values_32,19433
values_77,18058
values_91,26932
values_42,9075
values_13,9654
values_41,5049
values_55,16519
values_31,13495
values_66,16862
values_65,16164
values_62,27929
values_21,27044
values_95,4944
values_84,3659
values_58,25345
values_64,3172
values_83,5973
values_94,23090
values_0,320
values_99,18826
values_96,15858
values_67,8925
values_61,4331
values_43,30642
values_2,799
values_54,22666
values_30,10460
values_59,29399
values_85,13315
values_74,76
values_90,20982
values_18,8489
values_52,12225
values_44,24141
values_17,32221
values_36,14321
values_49,28318
values_86,2565
values_37,661
values_56,14331
values_63,13491
values_35,10843
values_97,17400
values_75,10352
values_57,31058
values_88,11090
values_10,3478
values_53,19878
values_8,3637
values_39,26902
values_47,296
values_60,15168
values_89,8214
values_51,177
values_14,25093
values_28,24313
values_16,10109
values_34,23057
values_82,28018
values_46,9386
values_27,23996
values_20,14701
values_9,31293
values_92,17341
values_3,29522
values_98,26462
values_29,29500
values_80,17424
values_73,31699
