inputName,size,arr[size]
values_11,4,"{273894688528430102, 4262629523360540712, -6735657183462623815, 1083969012023774511"
values_19,29,"{-8237750348365142446, 5712618747882851829, -3784860356903820952, -1598546011581662804, 324027557160318554, -7534171407703783284, -8807787240729276606, 5411387048665182176, 1387553260040958300, -1252067670938475570, 937018415300833095, 6118765568478679770, -6195451250596706932, 6247000737330859820, 7088710746925496289, 8749855233996725654, 5367609074083924512, 2989229871027416557, -8587247994698317659, 9206501280580357234, -74841691946190656, 3998577661936849466, 1272695976033404796, 9045196508779117205, 3092083482449607513, 3278904522503119339, 4412866478231112291, -6733416363545958557, 929188644352213817"
values_12,28,"{-6506737622004974995, 3104756705829660243, -7669729013054547002, 3287783432279776095, 6762412157349974967, 307587550580309328, -5403150293279512256, -7130696207031729803, 7209104970882211975, -6334413101934916094, -2995035981324963293, -7344921894069514909, 6300685502367415359, -7059932912511353831, 5774099554790415050, -1417978022374787637, -3225524432988557445, -4346856258966632974, 7865105705629507563, 8912754437844212120, -6667271332472372746, -7003999005329975190, 8912298162143094486, -885813413207597558, -7066782977549966144, 3753370991577419817, -685581093286219728, 9090147476817610684"
values_38,3,"{5278008675322979517, -7124381853577962336, 3807000554769088104"
values_81,15,"{2093568308379672171, -5810568110626158376, 3475780799491788128, 4674812587699795420, -1396735601744585887, 5851108064858746830, -1598074954690172177, -130462501547415867, -2921567238303868963, -119764543098737463, -5213213294050810158, 948876157855191964, -3254602675013442926, 2465433970346913599, -889786132463406707"
values_5,24,"{3203051644897292351, 3731481949310387416, -5050061175798374751, -7818821714566088682, 1901643120810252246, -6988613966594680890, 484626299376194338, 680707745934448688, 6082439464948058556, 3023769778103087177, -4321588373188417603, 7901071517523973736, -111292479944377203, -4038522960917103343, 6734662433609330767, 7640603207881447922, 1725034712139600252, 7001321863211951512, -7889784429693319566, -8284639714969025927, 5060520065013780892, 6672297811331266541, -8489408764612645176, -7517944656954468077"
values_40,30,"{347938006204195895, -8095741845622688683, -3613373393083646169, 2205194218499330072, 5371403894365752719, -931474872477610466, 7575195277107789194, -7044810047749890767, -7606738468062494257, 6374989787021500086, 6419992814369704364, -6838192353965802630, -2181918620249276027, 8406839809872869482, -4432184484584912873, -2386021703140530138, 2021172896013971743, -1684336619074360921, -3738559500405367439, -5725895265228414780, -2783493886613110841, 8644862193601062032, -7548414281873774997, -7536610631087158588, 7954465999218675167, -182861459877896349, -6074698898340157132, -601086634900812702, 6109687833509213254, 1124496374709488495"
values_70,24,"{-3526539688486011842, 9222699773238705303, 4694542743622671969, -6711534199765212558, -7191306289531787333, -2456974965967264510, 7583789929503422895, 8144583533424472208, 4492316910705144564, 8720348471450367793, -5997817852067107069, 8499488009095512096, -4938980887844198619, -75047986516693881, 3955037317352109551, -1352884817500084933, 4186620356944707687, -454636417485329146, 5983738124979667522, 1531883573448252747, 1008997525477845550, 2317783455909058470, 5642532007555754625, -8657723029074989319"
values_23,11,"{7171103478956998921, 571389865200036236, 7974619900706167562, -360137441058640365, -2512210681239577911, -7699299226188307397, -4181538861385300463, -2671583554134666864, 2162968899790672361, -4180644984986361138, -7610232510092014992"
values_72,18,"{-2009703781429405753, -4710249635207034710, -4119346028880850330, -3631724726619643270, -7292024012179581026, 7592367340621541551, -6406872143539164936, -5708299063946797873, 5633607439073548969, 4384932147441784828, -6697700727528340609, -5081573207326507950, 6613741402629009303, -6001103368354563262, -4293346283849201214, 6935685813250247240, 3347884209463984973, -8471939587900494935"
values_79,23,"{2733074490528296624, 7910937682222629591, 2901859879421518052, 822976533742702562, 4372111049192358915, 2814652902364652890, 5182103820049251091, 6865155982118390760, -5298900506330046218, 6937698100779281244, -7237053894663738773, -5086533595969593468, 8349483129155822239, 2168084302016706714, 7587342893023789074, -1780537039637618191, -3031023339447685089, -7734346589820039843, -277441640793508633, -8466692408988189771, -4435618556900633678, -3459094585657370886, 1190694656542227489"
values_78,19,"{-2117611096093586941, -3009434353342850746, -244284237115684315, -8087540791701363862, 7349513690934854373, -406497845436649309, 8408380382235396000, -1542035317911337639, 1594569784685972522, 8229466198144693981, 7932049101026740308, 7473450635880567319, -3879286822631228203, -1871620092310659131, 6556023983018397370, -622799861248715148, -925553766167071237, 5094555743761776605, -8832576300293483080"
values_87,6,"{-3717029894182152280, 3888961064501381940, -715374156173357846, 9208937975458787362, 5822143252006247655, -2261153181990468725"
