inputName,n
values_11,31
values_19,26
values_12,19
values_38,10
values_81,17
values_5,2
values_40,27
values_70,26
values_23,30
values_72,12
values_79,19
values_78,13
values_87,13
values_6,14
values_68,11
values_69,31
values_1,20
values_45,19
values_33,32
values_15,26
values_93,27
values_24,10
values_25,26
values_26,16
values_48,29
values_71,25
values_76,7
values_7,18
values_50,3
values_22,26
values_4,28
values_32,4
values_77,11
values_91,21
values_42,6
values_13,22
values_41,17
values_55,3
values_31,18
values_66,22
values_65,29
values_62,27
values_21,28
values_95,18
values_84,25
values_58,2
values_64,20
values_83,14
values_94,32
values_0,17
values_99,22
values_96,21
values_67,32
values_61,14
values_43,5
values_2,16
values_54,19
values_30,12
values_59,26
values_85,16
values_74,11
values_90,10
values_18,2
values_52,16
values_44,5
values_17,18
values_36,32
values_49,6
values_86,23
values_37,25
values_56,16
values_63,13
values_35,21
values_97,21
values_75,2
values_57,15
values_88,26
values_10,8
values_53,26
values_8,4
values_39,32
values_47,12
values_60,10
values_89,15
values_51,5
values_14,16
values_28,32
values_16,8
values_34,26
values_82,13
values_46,28
values_27,23
values_20,21
values_9,28
values_92,26
values_3,11
values_98,2
values_29,13
values_80,10
values_73,7
