inputName,size,a[size]
values_11,27,"{0, 31, 126, -86, 75, -36, 20, 125, -94, 71, 72, 80, -26, -116, -92, 78, -57, -124, -75, 49, -124, -116, -7, -85, 0, 112, 101"
values_19,24,"{-111, -35, -99, -34, -16, -11, 9, 104, -31, -112, -119, -79, -103, 51, -31, 3, 101, 100, -38, 10, -101, -13, 105, -43"
values_12,25,"{-10, -82, -113, 96, -116, -114, 122, 15, 9, 98, -101, -109, -72, 114, 41, -116, -85, 99, -44, 92, 70, 85, -32, -27, 34"
values_38,27,"{-100, 18, -91, 38, 87, 125, -33, -113, -82, -122, -9, 114, 26, -53, 113, 45, 124, -11, -48, 52, 41, 1, 4, 112, 86, -52, -69"
values_81,14,"{-127, 103, 40, 30, -111, 62, -109, -14, 7, -24, -114, -78, -53, 41"
values_5,9,"{-15, -83, 49, -60, 11, -31, -71, -1, -30"
values_40,24,"{64, 55, -102, -64, 58, 117, -92, 93, 114, -109, -9, 54, -20, 107, 119, 51, -62, -32, 47, 115, 4, -55, -74, 87"
values_70,9,"{10, -31, 118, 44, -57, -43, 54, -28, -7"
values_23,24,"{85, -105, 77, -126, 26, -80, -62, 107, 66, 5, 98, -35, 49, 80, -126, 60, 51, 103, -73, -53, -14, 32, -109, 42"
values_72,6,"{17, 54, 86, 16, -117, 61"
values_79,29,"{-104, -109, 39, 11, -3, -21, -96, -18, -36, -29, -70, 5, 116, 62, 3, -11, 97, 107, 30, -71, -36, 3, 41, 56, -12, -31, 50, 92, -92"
values_78,24,"{-21, -98, -3, 16, -4, -108, 22, -102, 15, 0, 107, 16, -37, -50, 66, -116, -4, 39, -84, -51, -26, 82, 56, 67"
values_87,23,"{97, -39, -47, 113, 84, 108, 33, 26, -116, 66, 41, -66, 58, -101, 14, 2, 48, -80, 111, 18, 78, 65, -106"
values_6,3,"{8, -112, -21"
values_68,29,"{-90, 54, 36, 5, 1, 109, -70, 52, -100, -28, -37, 2, 15, -122, -13, 67, 24, -29, -118, 57, 40, 40, 115, -94, 67, 64, 18, -29, 27"
values_69,17,"{45, 51, -1, -11, 56, -54, -14, 78, 4, 61, -116, 73, 89, -76, 29, -32, 49"
values_1,10,"{-27, -19, -1, 65, 125, -61, 71, -81, 119, 4"
values_45,16,"{72, -52, -114, -28, 117, -1, -66, -20, 51, 74, 23, 9, -38, -13, 33, -22"
values_33,17,"{42, 58, -86, 120, -12, -72, 81, -80, 45, 79, 46, 5, 38, -6, -35, -102, -106"
values_15,5,"{6, -69, 69, -121, -111"
values_93,8,"{111, 102, 65, -65, 72, -18, 96, -100"
values_24,23,"{-119, 82, 79, -67, 78, 28, -112, 27, -13, 11, -34, -85, 94, -76, 79, -74, 92, 107, 89, 104, 60, 74, 112"
values_25,8,"{104, 39, -98, 67, -10, -66, 54, 94"
values_26,26,"{-93, 2, -109, 124, 69, 125, -121, 96, 64, -99, 110, -46, -121, 65, 59, 17, -86, 11, 26, 44, -4, -40, 78, -60, -31, -30"
values_48,23,"{-1, -121, -89, -3, 30, 49, 100, -11, 74, 39, -98, 26, 46, -39, 47, 94, 87, 30, 59, -52, -42, 48, -52"
values_71,14,"{0, 3, -72, -50, 65, -1, 32, -40, 99, -11, -25, 3, 6, 124"
values_76,29,"{-1, -104, -52, 101, 5, -118, -57, 87, -71, -79, -9, 99, -98, -98, -105, 26, 63, 74, -20, 100, -78, 114, -105, 102, -104, -7, -68, 98, -102"
values_7,25,"{119, -53, 95, 32, 24, -41, -104, 112, 101, 106, -90, -105, 75, -1, -101, -67, -33, -60, -2, 46, 1, -106, -94, -112, 73"
values_50,4,"{-66, -63, -6, 113"
