inputName,idum
11,-18362
19,-32642
12,-4159
38,-32589
81,2995
5,10550
40,241
70,-11437
23,-2133
72,-5733
79,-32429
78,-13811
87,-6701
6,-19335
68,294
69,19779
1,-8051
45,31808
33,-28214
15,27059
93,-10794
24,-11840
25,31225
26,6221
48,24752
71,-13619
76,-32438
7,-25962
50,-3949
22,26028
4,-5891
32,-5221
77,-30379
91,8419
42,-7911
13,32309
41,27377
55,-2362
31,-24234
66,31541
65,9207
62,-14419
21,3852
95,-6089
84,-13940
58,20041
64,-12699
83,-26173
94,3263
0,9113
99,-10840
96,-21138
67,-80
61,-28454
43,2832
2,-18678
54,-20909
30,18744
59,5518
85,5872
74,-19649
90,-25192
18,208
52,8593
44,10222
17,29257
36,22014
49,23941
86,8387
37,16777
56,24284
63,-12212
35,9226
97,7900
75,-3027
57,24451
88,-9188
10,-6914
53,-29646
8,-23536
39,12440
47,9689
60,-18844
89,-1580
51,7327
14,-29538
28,-2916
16,16104
34,1559
82,16579
46,-306
27,8884
20,-12308
9,14293
92,-12285
3,-5921
98,-23656
29,15688
80,-27081
73,-4405
