inputName,n,key,arr[n]
values_11,9,18,"{699184965.621, 1535969251.752, 1342316800.224, 651616775.251, 1991373762.63, -1372875415.753, -1661646258.256, 741198972.447, 936692451.545"
values_19,9,22,"{-1832861712.424, 987031031.776, -1562270856.713, 1726096198.41, 1407270082.463, -642134418.843, -1698105877.037, 34895985.387, -66353186.335"
values_12,9,23,"{2025978958.115, 1834350386.991, -1889575238.601, -792530865.393, 90476129.612, -1244251865.992, 34317243.983, 1169240962.293, 193613010.864"
values_38,24,23,"{-527827816.217, -131853302.994, 686174239.603, -598534596.654, -1221575481.489, 1753873170.097, 275535843.086, -569416076.388, 970142767.75, -143299146.087, -166139206.937, 939911100.303, -1934720042.607, -1227423806.411, 1201001955.966, -130936629.432, 1540887779.18, -1052972854.966, -104853453.84, 602382293.74, -558427866.573, 790102846.842, -1945889647.839, -1812096427.779"
values_81,23,18,"{-1407983417.308, -1529572420.468, 927851205.382, 932720991.637, 662375491.963, 1084879114.903, 1483417353.823, -410851390.117, -597055976.773, 183476001.867, -1860660177.654, -424749638.694, -17235992.734, 839444817.89, 401224822.462, -709285017.194, 1481542735.254, -890493389.942, -701387897.746, -930792918.603, -1026624517.333, 1254574642.424, 1084340455.069"
values_5,14,30,"{526042187.139, 1995132336.34, -974288415.512, 165987323.226, 1698689752.264, 1004156274.905, 1365508553.987, -1168219474.362, -343626013.619, 605708252.189, 598424610.522, -1370856009.8, -1121563567.615, 2146028146.589"
values_40,18,3,"{-1243742376.752, 1669366224.876, 1166899695.596, 1175745107.105, -348223674.709, 226726091.463, 996216620.761, 2011255960.896, -1868913852.266, 174499959.375, 491336530.924, 2098244504.415, -948959072.86, -1236592123.593, -843744698.482, 1787795703.261, -87770466.424, 987878009.011"
values_70,7,3,"{753111802.067, 934299314.237, 451965647.588, 992353861.615, -2036273706.643, 186969769.435, 872872077.96"
values_23,24,24,"{1556699332.08, -1667907528.134, -214304062.732, 1145398696.183, 789970449.107, 2132112094.834, -504988652.814, 800502071.91, -1782601836.013, -1331531322.429, -1285434506.284, 2090699858.565, 1022206513.709, -233179947.542, 1800835117.514, -796504481.56, 1637995421.137, -487879043.87, 1792832190.09, 807206171.711, 23878575.341, 861326010.236, -135606785.157, 242014348.814"
values_72,7,23,"{-617208194.149, -1599664780.044, 1242769401.368, -2045180457.998, 1779531471.538, 565249333.129, -1707578355.069"
values_79,7,22,"{1938485054.083, -526063951.331, 193791834.168, 1496908822.68, -806924901.48, -1641451666.89, 351805387.889"
values_78,7,23,"{480425859.719, 681595087.191, 666063326.361, -1410426905.574, -2133029626.979, 985105623.435, -1978871390.067"
values_87,23,31,"{-1185244353.203, 552431908.457, -533019717.482, -2134731345.218, -1613048092.183, 1479053752.94, -1125253391.022, 502271963.232, -1596259280.57, 1752808652.937, 1963808054.088, 1093649143.11, 1841569482.245, 1011887980.489, -1317155497.491, -885873035.267, 1376406029.862, 2134954677.314, -1391910982.274, -260820597.774, 1670609152.373, 219711361.768, -1629492321.254"
values_6,14,12,"{-589397320.132, 48248888.278, -514117387.163, 468770164.402, -336003472.497, 75915117.231, -1397311153.516, 1323061991.653, -1202803776.593, 558549312.515, 1618482831.33, 1860901399.547, 117071431.891, -345751864.942"
