inputName,n,key,arr[n]
values_11,25,4,"{-4540426304136183204, 2297495394399219384, 7886304298670314849, 6657673141753846967, 8691433994319262823, -4565756821987283264, -8997612686790689643, 5121264278512120729, 2572049096277525645, 1065482265070139909, -189684550455815566, 3946343874970744219, -2329602857265118962, -2644145035262595744, -2172422909990729301, 6089983384165209783, 5552145599691509683, -7726241529602295876, 1485479751383517022, -8144856063458210432, -6352751328785429392, 77979906677882395, -6007823492430737083, -255048536728746366, -6974191598021107045"
values_19,25,9,"{6497947596072480045, 2548997988229959355, 5295977281740957672, 1777908401323473306, -4401212727768313141, 8621849249967613384, -6312989485811570451, 3056061113547513323, -6267121483438998757, 8617959803010793398, 6588723652912359165, -2489572230228919356, -7760556420135611971, -4917967307994749681, 5265789658083629266, -8265394840804730275, -8398673653963016576, 7493260938432166093, -720737869438521005, 6218598415754344096, 343263718507436568, 1867432212979522958, -507571203423894878, -913500020431652295, 3704691954175560142"
values_12,25,6,"{8817300469159839204, -1102766640640846002, 2059467836120549793, 6556274564207467706, -3628815193572069579, 858985336697413530, 2391652166874688827, -8839434686861824966, 3322900854587266534, -1788114162737224610, -2025090426575222356, -7853014069008567602, 8249936659737972563, -4971631286438178558, -3146902687373033228, 3754196162056487038, 7757846047773222715, -7710336276395530682, 4735406629302669548, -1142902512631830634, 4633470135207000106, 1825058174148458763, 8373023222520643079, -3164398110249546754, 7890352670897578457"
values_38,11,15,"{-4567235791320942912, -6416423204410989729, 6407398052696368387, -7232227489491146134, 3626650576312859265, 6855641458763177595, 7222067352022653144, -5042094477092870281, 7602988805378652494, -3408569806667741621, -330586688718261440"
values_81,10,4,"{-8534014613115598186, 4227455395131457856, -3661455217212538066, 7787237892199075080, -3603977219229124705, -1321343065147297050, -3346090912183682926, 6030291657047131055, 3713812503578728913, 8239401368829010403"
values_5,29,32,"{6352044614894966421, -79368876408127883, -4529378471342310201, -5195591710176147807, -4488085719059930429, -8404083796298592861, -5446012365645501739, 8558581199396367192, 172682358405550162, 3237694870555496762, 4847696797666896826, -505390140208165275, 990396188257450758, -8760995253072736268, -3657125488413610012, -225359909709008762, -8550609237071980783, 6763592802026133843, -8289757526037087722, 7804763243190538809, 7429545485829696323, -3473218954236840409, -7849181433405403872, 8912459424414996820, -223048598785898733, 2079150481359175539, -4854625563223735819, 431097104930362775, -716926080933461473"
values_40,5,8,"{6618131987777354137, 1684736311432914490, 7579161825497339480, -2589133902013910882, -3366528191422867948"
values_70,9,8,"{5813212167389442663, 6075290092933193311, -1609880565496672984, -2904533739100200898, 4142578373410038372, 8618456108301763837, 6260213432811344262, -5473414520452869315, 6409536490683022389"
values_23,7,30,"{4291282922454230806, -3769716882925780810, 1015982940286132421, 3465713348352587556, 8137267828085211561, -2886038890929558822, -4030167075694113999"
values_72,9,6,"{-628154020485751787, 3965502077314854382, -360954589519993553, 6155767214685203850, 1576479956182784366, 6526145522537784611, -8393588584561626046, -8505671240345530471, 4295410653027658502"
values_79,9,9,"{738821751210148252, 4340943314563368976, -4207092816307633389, 1759400032950030317, -8790425705244360556, -367255192315506214, 8015568296950978865, -1148786207436285213, 6216805739174549887"
values_78,9,15,"{-5590575133357552620, 2217618090159531434, 5977269247199312672, -4213552753052393681, 6177577059591440661, -2306528518066021884, -67428545158773735, 8442898636165612532, -7765264981772354298"
values_87,10,15,"{-4537679782476450906, 6660345973795655716, 5132536322379298330, -4266981900202057080, -2558884880689281791, 6726773362862690708, 5866817973523872852, -4691828754154732022, 3827144929803658006, 2367299369606681325"
values_6,29,29,"{-2982390147697766714, -5803053295199939802, -5882733632330012123, 8981879660730546449, 6221381674582245048, 7526172485144892734, -6592534642287149570, -3137079851901821517, 7856426703622683692, -5304341130856668916, 7515711091401854924, -3203770802339287598, 715735659947728382, 8834938604075095516, 8479494282172634682, 5013820798651525985, -4097561534439520524, -1707473699812951947, -6400874181178935022, -406131454714269340, -2844726927384144264, 4701078011336982857, 6836132111485143244, -8305318094687587090, 2286267991428292375, 2030493561515633409, 7237072362748117989, -4138077484011684179, 3696439896766193060"
values_68,21,15,"{2351651232431620276, -6483498844834672843, 2426285626135547519, -934586298849932650, 7052409313385419005, 7729217585595469583, 3028241375624446902, -2921025474456928682, 8520225228939057230, 4129543139110302538, 1483300575941123619, -8829541128647112844, -5657027122345198522, -4857476819056488935, 8331424436343277434, 7696892669226916277, -5255507506137515722, 7524341363733720962, 8527144319844882507, -4846772658788963010, 4622822700843165075"
values_69,21,9,"{-8779646869389951118, 5587922303417734655, 5665038925876593804, -2347874582929597458, 8351843771102944888, -9197881755619251805, -6132686558273457008, 5282550202095326685, -1597536944889420609, -814796637932853273, 2793505813339843860, 426611139144873461, -5385531015544195894, 3511787344828948282, -4542985045598537618, 1511917528404579922, -3737411437587607277, -7327492767867328283, -7436518688248847930, -4990012186877762254, -6571008216502088556"
values_1,29,4,"{-4256302340915371121, -765375579916093173, -6065111835112889602, 510495552340025700, -1696574631103053365, -7107091383949160782, -4503009927039673858, -3739585657121212627, 8616889053164176699, -691171253269697841, -7766966345658483856, -1973210444326597524, -3707765347923846041, -2962810285789024620, -5122649207592737315, 117735818852978609, 8714945259529644992, 723226072369831202, 4980813149402369985, 4514013887057787917, 6254701110505896641, -8970552446157285907, -6756944189553759608, 7583541010652917255, 9198857231753810846, 2856202320483091354, 1329783089034866401, -6131341629524567791, 9083921688678415656"
