inputName,n
values_11,16
values_19,16
values_12,13
values_38,9
values_81,32
values_5,17
values_40,17
values_70,15
values_23,31
values_72,2
values_79,30
values_78,25
values_87,16
values_6,23
values_68,5
values_69,29
values_1,17
values_45,5
values_33,12
values_15,7
values_93,6
values_24,11
values_25,4
values_26,26
values_48,15
values_71,20
values_76,20
values_7,10
values_50,3
values_22,5
values_4,32
values_32,14
values_77,32
values_91,23
values_42,7
values_13,14
values_41,2
values_55,5
values_31,12
values_66,20
values_65,10
values_62,2
values_21,31
values_95,13
values_84,28
values_58,27
values_64,12
values_83,11
values_94,12
values_0,9
values_99,3
values_96,29
values_67,16
values_61,7
values_43,4
values_2,6
values_54,25
values_30,26
values_59,30
values_85,27
values_74,29
values_90,21
values_18,22
values_52,17
values_44,9
values_17,23
values_36,30
values_49,9
values_86,31
values_37,23
values_56,24
values_63,18
values_35,14
values_97,10
values_75,7
values_57,2
values_88,20
values_10,18
values_53,9
values_8,21
values_39,19
values_47,9
values_60,4
values_89,25
values_51,7
values_14,32
values_28,18
values_16,7
values_34,27
values_82,11
values_46,26
values_27,16
values_20,10
values_9,26
values_92,23
values_3,26
values_98,32
values_29,29
values_80,23
values_73,30
