inputName,val
values_11,1704771587
values_19,1849084490
values_12,273280699
values_38,2041177576
values_81,616429085
values_5,811076316
values_40,1297915587
values_70,360984416
values_23,1171874459
values_72,1264462488
values_79,1922836071
values_78,719006169
values_87,2131577043
values_6,1200275199
values_68,1984888530
values_69,1958199299
values_1,515126363
values_45,1109759223
values_33,581776415
values_15,258040988
values_93,2049537192
values_24,2075983799
values_25,2073157927
values_26,631672088
values_48,987799183
values_71,2099963104
values_76,1983775457
values_7,935540214
values_50,1546789951
values_22,1036226925
values_4,1239292421
values_32,293072696
values_77,946771889
values_91,732330604
values_42,1740576789
values_13,918121708
values_41,973579864
values_55,225600026
values_31,999215727
values_66,2030785561
values_65,355448587
values_62,1578310923
values_21,1459529739
values_95,372479904
values_84,157255501
values_58,308537956
values_64,791235147
values_83,1795526018
values_94,1437620062
values_0,63997751
values_99,1345147680
values_96,1004922965
values_67,76883616
values_61,1817042196
values_43,2056691370
values_2,1789585755
values_54,212514591
values_30,1499396103
values_59,205694355
values_85,1900900577
values_74,9099146
values_90,638111793
values_18,806827416
values_52,1649386256
values_44,2113970166
values_17,580042190
values_36,1129821698
values_49,988389795
values_86,130743025
values_37,949735747
values_56,1396240609
values_63,414958246
values_35,1509119922
values_97,215374006
values_75,1073634998
values_57,122655919
values_88,381410844
values_10,937982235
values_53,1074724194
values_8,240274497
values_39,2052658533
values_47,1423948447
values_60,727461653
values_89,1745298893
values_51,1581192100
values_14,410085200
values_28,1194367793
values_16,885851599
values_34,1891463509
values_82,1265837121
values_46,1175400779
values_27,836861207
values_20,89473358
values_9,1282399364
values_92,1546848430
values_3,477799066
values_98,359345956
values_29,1817654153
values_80,2092688004
values_73,1385551001
