inputName,size,a[size][size],b[size][size]
values_11,6,"[[11234, -7934, 5236, 18493, -30852, -19060],[31928, -28848, 14071, 31841, 15018, -1223],[-29979, 4402, -29401, 15679, -1306, -16483],[32654, 20536, 3585, 3857, 800, 6498],[-13031, 9619, -27591, 9027, -32378, -13301],[-31244, -2709, -23904, 4481, 2069, -1479]]","[[26808, 313, 1477, -6527, -4743, -21056],[-5641, 23903, 4959, 22350, 6466, -32198],[12751, -20718, 5828, -15348, -16956, 5026],[-1666, -30441, -2158, 416, 17145, 4598],[6763, -28538, -27110, -24482, 6667, 4991],[-26984, -23149, 6464, 26380, -27700, 21182]]"
values_19,12,"[[13966, 27566, -4257, 22669, 3808, 1912, 1076, -31545, 11881, -24729, -22556, -10484],[19327, -24905, 6953, 16186, -16721, 14300, 3502, -6500, -20752, -7700, -1188, -18936],[-12792, -29223, -15263, -8032, -4502, 26140, 30095, 5986, -10307, 8385, 8531, -15694],[-14748, -25554, 13732, -28451, 17598, 5156, 29168, -29097, 27491, -5450, 2732, -30181],[3924, 32518, -27072, 17426, -5361, 3473, -28073, 6729, -11602, 22094, 12595, -600],[-15337, 21752, 6276, 26783, -29380, 30369, -8756, 31895, -23057, 9755, 13543, 9413],[11184, -25083, 30021, 14168, -17790, 7966, 27934, 10013, -5887, 2917, 19851, 15648],[16516, 32353, -12783, 28468, 13773, 2960, 4393, 11493, 26455, 454, 12548, -3980],[14214, 23466, 16183, -6969, -31171, -15421, -16381, 22587, -4137, -14029, -10405, -8647],[24448, -9918, 32676, 31994, -25168, -5735, -22570, 18682, 7841, -27861, 11509, 1886],[-11299, -20772, 24497, -3491, 13741, 28732, 11773, 20581, -6745, 28366, -10059, 28940],[-22148, -3159, 24300, 27028, -18486, 21233, 10086, -30014, 12131, 24670, -20229, -23561]]","[[-14531, -19871, 20239, 20825, -12153, 1648, -6827, 7373, 21076, -20377, 4835, 3778],[12303, 22313, 4278, -5989, -19001, -15322, -4763, -13598, -29495, 7095, -25184, -5098],[23504, 28970, -13610, 1485, 11517, 4691, -26293, -275, 23257, -17827, 5705, -25690],[6089, 31396, -4455, -18323, -28004, 3044, 11710, -23429, 14143, -6902, 20927, 25924],[15006, -28820, 26535, -10227, 8538, 30251, 1141, -31858, -23015, 18046, -1334, 11554],[-23853, 5955, 17063, -18367, -21728, -21996, -20405, -32623, 31769, -19142, 20519, -30236],[23058, -14298, -20143, 17888, 18561, 11070, 7716, -27444, -14717, 11099, 11916, 24944],[24170, -19732, -7228, -29654, 6538, 19581, -5218, -1747, -7318, 25734, -18336, -5511],[-9342, -12719, -18679, -20775, 5818, 1208, 8876, -20410, -5724, -24561, -9725, -11843],[19022, -30403, -13771, 2601, 19691, 27053, -3376, 5991, -8078, -5553, -16981, 26475],[-1916, -15448, 16093, -15192, 8645, -28312, 18087, 28601, 30923, -22574, -672, 11712],[11175, 4209, 3482, -23923, 12700, 451, -31505, 8211, -23537, 30938, -3979, 31728]]"
values_12,14,"[[7158, 26328, -7523, 13284, 14191, 9244, 25769, -23911, 9051, 15730, 20771, 8468, -25103, 368],[-18632, -13483, -28275, 17766, -27405, -20964, 10318, 25425, 22462, -30144, 14487, -22780, -11805, -15795],[-22776, -25242, 1568, -30855, -4823, -2920, -3875, -3840, 19451, -9760, -22178, -30799, -9618, -10676],[20270, -20937, 26540, -7210, 32416, 8914, -6579, 21974, -5109, 1259, -23328, 3863, 16011, -14270],[8007, 10995, 19144, 28172, 12266, 11506, -21471, 10543, -32359, 31238, -26752, -28526, -22615, -12581],[21118, 8746, -30534, 22462, 24080, -24624, -10986, 27269, -237, 15805, 5349, -12869, 26982, -17183],[1424, -11930, 30969, 5935, -8269, -4821, 4694, 25677, 23791, 12875, 7672, -23611, 25205, -8538],[19033, 7656, 19696, -5095, -10732, -9051, 8696, 21602, -6319, -24848, 22621, -22697, -14029, 7779],[4756, -17673, 29545, -22733, 13037, 7917, -18176, 25320, -29548, -4702, -26863, -7285, -7001, 20290],[13166, -12456, 14317, -26925, 19924, -3220, 17438, -28352, 4743, -27368, -6274, -2533, 22923, 614],[-32660, 13175, 27495, 5446, -6907, 7158, -11317, -9900, -22583, -23754, -32677, -18699, 24394, 8062],[26685, 9478, -23838, 3700, 22922, 21323, 2104, -30797, 29743, 27557, -20737, 18218, 26575, 26162],[-5649, 28198, -22031, -9689, 2375, -9876, 18215, -26365, -11367, -26948, -28379, -10490, 9687, -23428],[1988, 1969, -7954, 12900, -7457, -2180, 32467, -5058, 14788, 11108, -16209, -7892, 4824, 30717]]","[[9127, 16867, -31998, -7929, -24268, -28212, -23390, -2497, -27027, 24732, 26404, -10849, 21451, -8614],[-21050, 9519, -5816, -1766, 4086, 13669, -19192, 28897, 4338, 9102, 15320, -16399, 14369, -999],[129, 22313, -14841, -9760, -28325, 4044, -32343, 8120, -32196, 14834, 17771, 23336, 8873, -30970],[-27512, -7568, -27671, -32543, 30219, -12465, 26583, 23411, 23907, -1053, 4788, 14177, 29582, -31658],[-7511, -10675, -11720, 23500, 7985, 29995, 6309, 18693, -16137, 5062, 1803, -10714, -25091, -13473],[-3630, 8208, -22274, 10637, 10305, 32312, -28757, -14367, 8742, -5126, 8416, -3294, -25768, 24195],[-8949, 16205, 17711, 6814, 13451, -5663, 3756, 31696, -16994, -10006, -14582, 25735, 7244, 21789],[-1897, -18033, 1967, -4260, 10066, 19722, -27546, 7760, -19489, 21654, 24376, -11782, 15194, 32533],[-13559, 8522, 26965, 19614, -32287, 20115, 13616, -11484, -8326, 31410, -14530, 3053, 5762, 2683],[5494, 30561, -3299, -12724, -21573, -17159, 21640, -23014, 18441, -9160, 6720, -27879, 14475, -17542],[23209, -25190, -5904, -26042, -13712, 29519, 2178, -29705, 26422, -30441, 21519, -24906, 20574, -3492],[-801, -27381, -11437, 9321, -20703, -27063, -3792, -3894, -11654, 5733, 31674, 16252, 32722, 12751],[20044, 15317, 21766, -16922, 3496, 11489, -32415, 2386, -29980, -4926, 2786, -27474, -27132, -20000],[31667, 28130, -23867, -29605, 428, -21337, -26067, -22696, 22017, -9537, -1120, -7437, -22363, 10355]]"
values_38,14,"[[15301, 14154, -16880, -24713, -19472, -16807, 31934, 24621, -17427, -19619, 11943, -14542, -654, -17336],[10970, 3673, 8540, -2938, -14705, 15342, -6784, -29436, 13897, 26401, -13469, -4299, 13434, -4712],[23756, -24018, -15628, 12084, -2394, 16140, -14221, 32314, -10660, -13347, -8211, 2024, 8235, 12940],[-369, 5434, 12740, 32764, 22667, -21686, 26823, -22713, -5091, 22524, -24234, 31933, 3846, -7778],[16979, -19557, -8133, -15983, 10186, -31491, 16703, -31717, -27415, -9146, 26154, 18686, -27435, 573],[-27740, -18582, 6292, 23055, -14825, -30351, -15454, -12512, -20479, 19052, 25019, 10307, -19734, -4624],[7362, -4092, 32122, -8795, 7848, 3356, 513, -31205, -1762, 1366, -7596, -15123, -25166, -21595],[19943, -13618, 17922, 7349, -14682, -20516, -19794, 24757, 24422, 20240, -8454, -21462, 29051, 11149],[28816, -7562, -27292, -9258, -10145, 18408, -25169, 13279, -20059, 11868, -31132, 15059, 17907, 1694],[-32343, 12118, 31049, 8183, -23963, 8787, -6249, -8197, 24768, 23935, 10038, 27275, -27368, -22026],[-31569, -29875, -10889, -25212, -6132, 5159, 3670, 17344, -29840, -21726, 27633, -23076, -15325, 31915],[3917, 18872, -3304, -11664, 32361, 18507, 15226, 7321, 27211, 4016, 12455, 22021, -27409, -3140],[-12008, -9259, 14173, -18186, -25916, -21650, 2662, -639, 2748, 22532, -22433, 14276, 20420, -30901],[11970, -19642, -9569, 23197, 8173, -25923, -3184, 14124, 22162, 25477, -31662, -27394, 32629, -14533]]","[[-9580, 5289, 4380, 32141, 16769, -8001, 24142, 2131, -18713, -13110, 10381, 13886, -25200, 18155],[-2135, 12305, 22353, -29444, 28749, 8830, -3331, 1551, 3236, 12738, 11676, 5610, -19323, -7250],[32463, -314, 14044, -20440, -9183, 13588, -7192, 9047, 8939, 28881, 25947, 16197, 13523, -29312],[19788, 17245, -17753, -19440, -22918, -27078, 28762, -29274, -2591, 10995, 11898, -3436, 30105, -604],[12616, 8360, -24361, -30689, -11440, 26847, 14473, 5474, -18939, 30546, 25855, -8919, -30868, 22763],[20432, 20782, 7106, -19594, 18561, 6662, 28825, -15306, 23565, -2079, -24786, -3689, -340, 10248],[2752, 10736, -32758, 11142, 23509, -32580, -24283, -8134, 32022, -24270, 5081, -3450, -1893, 23054],[18199, 9046, 29066, -30236, 12471, 29149, -21500, 11078, 32485, -14314, 26193, -4622, 1806, -15500],[-24131, -10418, 32044, 6977, 22771, 18113, -26582, -31413, 7085, 29149, 10536, 30014, 19254, -19595],[16144, 14621, 9494, 26155, 220, -5653, -13643, 29595, 310, 7906, 26156, -10416, -12180, -14058],[26791, -274, -30086, 20190, -17639, 17508, -29636, 32342, 20292, -16330, 8653, 1657, 19764, 32344],[1686, 1921, -9824, -9546, 22387, 13756, 23659, 14826, -13621, -24079, -7051, -22380, -17613, -19858],[1518, 4712, -576, -12678, 23320, 19574, -7907, -24884, -27882, 5561, -16161, 8354, -11931, -1224],[-21095, 12174, -7043, 32602, 12614, 31528, -9937, 28787, -21440, 3053, 19149, 2712, 599, -6719]]"
values_81,7,"[[-3261, 10345, 23875, -3983, 1774, -25327, -21953],[-31684, 23531, 19537, 30807, 28240, -20569, -7810],[31311, -27802, -21778, -14536, -23169, -7007, 7227],[4792, 26288, -5209, -14834, 13915, -32343, -8944],[-21623, -11807, -2730, 23050, -8819, 29650, -17360],[-9531, -29716, -2715, -23225, -26130, -2834, -1220],[26055, -10097, 19574, 5871, -4360, 30404, -20948]]","[[10440, -10989, -10887, 5212, -7509, 15864, -29657],[13486, -14964, 17703, 14727, 797, 29164, 17938],[8773, 14905, 18122, 1259, -8574, -17379, -23110],[24792, -7869, 7438, 13734, 4498, 4454, 19443],[1047, 24235, -5832, -26655, -9785, -11972, -2827],[-23063, -23681, 13679, -27043, -13984, 29219, -23184],[9778, 28036, -18685, 28880, -11846, 17448, 27416]]"
values_5,14,"[[-4236, 10732, -10059, -11439, -25708, 1952, 29873, 28697, 795, 24795, -3997, -5573, 25931, -16152],[12207, 29173, 24780, -25220, -21383, 2626, 26569, -17635, -5635, -24018, -5939, -27646, 16488, -10982],[-19812, -45, 28456, 13216, 1213, -16747, -8812, -5147, -613, 15679, 18562, -19815, -13736, -20760],[-24664, 30917, 4826, 24174, -7414, -11467, -25934, -10414, -5810, -13087, -4170, -2722, -7630, 30663],[13252, -27976, -5233, -29233, 30462, 21100, -6985, 20435, -6400, 6663, 2114, -23235, -3548, 4551],[-12711, 10836, -12837, -24921, -16095, -25975, -7983, -3903, -21505, -27386, -29023, 19774, -10883, 29153],[-24217, -21246, 23825, -20832, 30772, -1012, -7928, 12093, 31085, 8497, 32418, 19078, -24131, 30080],[26423, 4095, 23042, -157, -12859, 4024, -10493, 14606, -4108, 15848, 185, -5514, 13054, -12472],[10577, 10421, -26021, 23932, 12462, -32237, 21320, 9908, -26378, 5938, -12806, -1092, 23419, -5792],[6770, -29409, 2682, -18358, 8364, 21991, -20573, -27029, -32579, 28373, 13180, -19275, -32222, 14353],[-5007, -27660, -14720, 20651, 11749, 24413, -10317, -19738, -10597, -9405, 7797, -8797, -21536, -22172],[24579, 12730, 16433, 9169, -9412, 12311, 10945, 13011, 4107, 14313, -25063, -30165, 30178, 17008],[26111, -30936, -28221, -29475, 23006, -9683, 5884, 28267, -4732, 32074, -9642, 25486, -27877, 30922],[-20549, -22465, -26059, -10369, 20678, 10002, -27313, 24986, 7155, 24224, 24514, 27834, 29871, 25678]]","[[-3454, -17440, -22886, -15495, -9715, 22412, -20926, 29060, 30608, 13923, -4845, 264, 30267, -21573],[7103, 11333, -30122, 3262, -25031, -10423, 18880, -20332, 32565, 32215, 9567, 19253, 14224, -14858],[343, -20227, 5843, 19035, -29697, -28401, -30132, -5314, 30022, -32036, 18784, 1247, -17021, -22257],[32223, -13456, -18747, -27234, -6191, 23540, -23238, 2932, -8935, 24816, 25344, -19383, -30421, -12118],[-24735, 8764, 6679, -14843, -28945, -27059, -22630, 8878, -29066, -17886, -1734, -6848, -17235, -30455],[-6556, -31370, -28493, -22263, 20160, 14283, 3845, 2076, 25774, -24793, 21252, 8320, -11303, 23298],[-17696, -13367, -26580, -1156, -10291, 25448, -17920, -19200, 24748, -17162, -17454, 13338, 1464, -7041],[12184, -9149, -10060, 28844, -32372, 1206, 13883, -8249, -30709, 19439, 32324, 30670, 6506, 27006],[-19751, -13851, -7563, -22515, 16758, 30391, 8042, 20681, 12623, -25738, 5313, 29214, -18058, 25179],[-24814, 957, -31763, 22310, -11952, -13408, -145, 7186, -26877, -7687, 18685, -10157, -26272, 21873],[-24491, -15385, -22381, 16219, -27784, -23742, 19117, 15093, 2086, -24056, 27831, 19665, 27538, 20202],[4646, -13091, 12181, 29516, 24976, 15689, -27328, 3985, -3545, 27008, -10577, 21057, -23388, 26118],[-16525, -136, 22057, -15774, -29449, -32695, 17839, 15388, -13688, -10289, 26886, -7087, -1438, -5615],[1632, 32124, -12427, -18049, 8680, -18387, 19071, -23272, -12757, -30505, 6175, 12641, 16814, -26749]]"
values_40,20,"[[3818, -1262, -27999, 19823, 14947, -27176, -22202, -1617, 308, -9373, 8102, 6349, 19600, 15538, 17599, -25558, 21064, 5667, -2601, 22213],[-193, -17228, -20372, 17290, 18403, 16850, -15271, -11910, -32461, 20136, -12950, -8793, 32376, -2396, 1651, 10998, 16447, -16268, 16147, 7984],[30483, -2589, -1839, 1688, 29849, -6769, -17897, -2051, 5969, -8854, -11304, 1394, -25493, 14416, -1889, 15465, -20530, 13096, 16897, 14405],[-3182, 254, 5081, 12589, -14267, 13262, -13924, -30207, -10531, -18557, -28392, 1108, 5641, 5535, 29289, -5317, 15351, -16792, -29087, 26634],[-29274, -3339, 6107, 7791, -16910, -30149, -242, 3856, 21807, 5566, 18191, 11342, 20467, 21982, 19842, 8240, -18359, -26930, -26330, -24738],[14206, 26372, 14598, -27340, -17615, 20637, 14154, -23451, 1600, -18783, -19919, -14497, 8979, 1948, -16476, 28083, 22611, -12983, 19019, -20754],[25141, -27214, -17871, 21524, -26823, -23008, -30056, 16643, -10000, -30915, 2359, -28415, 11736, 14479, -18397, -22898, -3438, 30710, 13780, 18567],[21612, -24686, 12227, 8763, -9374, 25272, -24787, -27560, 12498, -16017, -13753, 19446, 15249, -1599, 10878, 14646, -30914, -6568, -3353, 9595],[-14158, -12599, 10583, 16156, -23725, -28386, 1928, 27631, -32414, 30237, -4207, -23221, -29659, 5106, -18599, -23178, -20413, -19187, -25507, -12079],[27018, -22338, -17037, -23617, 21758, -7212, -7580, 30291, -20297, 7560, -19027, -20012, 4578, -10094, -14294, -21506, 7417, -30156, -30241, -8779],[-32239, -1858, -22488, -20174, -31371, 7903, 17974, -30852, -27152, 13283, -1789, 21732, 7555, 2408, -9801, -25666, 19717, 14854, -23916, -16540],[-22902, -19858, -11363, 17702, 26101, 2528, 1166, -17085, -23198, 15703, 8999, -25513, 26987, -4661, 22688, 18599, -4387, -12784, 14040, 9788],[12057, -32100, -13108, -25556, 21272, -3028, 13391, 6358, -11227, -31078, -32502, -16330, 17768, -2666, 15446, 1452, -3897, 12358, -30073, 18640],[8978, 11060, -7657, -14071, 7125, 31124, -29421, -21305, 21997, -17664, -14590, 24002, 25501, 10749, 11138, -3853, 89, 10795, 29819, 32377],[17091, -21194, -4949, 1270, 7137, 4141, -16200, 15852, 19885, 1523, 15483, -26721, 15496, -2695, -21369, 21732, 4242, 19686, 19050, -6996],[24691, -3706, -6274, 19792, 11106, 32273, 32717, -10848, 10015, 32614, 9115, -7807, -6034, 27387, 24274, 20807, 19751, 15247, 18769, -1834],[-5855, -2388, 8839, -16250, -1241, -29839, 25754, 29806, -13628, 9465, 25390, -27289, -16971, 31730, -19075, 26361, -318, 7809, -26316, 17978],[10807, 4267, -27603, -31257, 12374, 30938, -14190, -15724, -6142, 21241, -2953, 29371, 25361, -7857, 26895, 13923, 14696, -10346, -32607, -31845],[8263, 17959, -6777, 15619, 24421, 12976, -2967, -14910, 21200, -10639, 548, -3266, 22250, -4047, 461, 17908, 11930, -19222, 20843, 26903],[-31858, 18307, -16616, 25740, 17221, 12436, -22787, -21012, -18841, -24576, 14126, 18719, 25635, 32273, -7609, -662, 999, 31291, -21982, 30548]]","[[-25318, -31684, 25174, -10561, 11231, -32578, -15668, -18732, -31256, -13801, -11373, 22367, 18621, 30718, 26339, -31444, 21703, 9545, -16769, -20393],[29759, -7482, 6875, 25455, -21162, 3965, 2954, 27827, 12551, -26968, -1274, -7422, -27476, -26998, 23971, -1940, -13628, 19128, -26434, -2120],[7593, 12866, -6083, -31704, -5859, -10041, -7587, -11800, -2375, -17069, -27206, -15318, 16577, -3667, 22690, -18168, -29044, 7562, 31053, 13650],[-15471, -24164, -25413, -6759, -27186, -29108, 32326, -18929, 14888, 15230, -12069, -24630, -5424, 29882, -3353, -18572, 11595, 9053, -20693, -6088],[-17273, -23486, 29749, 5617, 20495, -9776, 21120, -29285, 2984, -24705, 20152, 7103, 22513, 19148, -12947, -22599, -4763, -13743, 22425, 7723],[-3815, -8029, 19766, 1382, 32691, -6646, 10143, 15362, -25883, 22901, -18663, -17556, 197, 24516, 15075, 5875, -30915, 29537, -26385, 8991],[23627, -8698, 5478, -20620, -14419, -1119, -3605, -32209, 25061, -6927, -9531, 21472, -23548, -24217, 8026, 14337, 30291, 29501, -16948, 19657],[22030, 1771, 4011, -23856, -17387, 6030, 24756, -26049, -21092, 18688, -4747, 15493, 17079, 10237, -5165, 17914, -21169, 15119, -8033, -9278],[-18555, 893, -20217, -18731, 16620, -26220, 26252, -22658, -30498, 31204, 6231, -22385, -10749, 28401, -2164, 14096, 5447, 7648, -4772, -18494],[5891, -32730, -4084, -2355, -26484, -5552, -19519, -14450, -17507, -29247, 8940, -11971, -802, -26247, -17577, -12419, -8102, -10372, 17726, 17393],[-25659, -3210, -14056, -2298, -28370, 6824, 9479, -32427, -4845, 165, -31856, 27459, -13602, -24370, 21667, -10610, 10723, 29535, 14854, -23897],[-20835, 24856, 11788, -20097, -7603, 7012, 32419, 11854, 29985, -29247, -16012, 15525, 8330, -31287, 16303, 22934, -8643, -20304, -6315, -7506],[18670, -7351, 13172, 14714, 29558, 29059, -17371, -4827, -9794, -25080, -21891, -29875, -6256, -24376, 17030, -31022, -28409, 11984, -26016, -4970],[-3603, -23668, 13432, 14888, 2227, -1159, 8559, 24157, -5130, 29165, -23061, -23550, 24669, 1832, -6814, -19903, -2008, -27962, 11179, 20136],[-10916, -26275, 7415, 27116, 9202, 19180, 22664, -14340, 9876, 19471, 25483, 2617, -14514, -14475, -6150, -2484, 14560, 29991, 11400, -32471],[24209, 28806, -26778, -1714, -17943, -24582, -28362, 24755, -4841, 27850, 3492, -16279, -21775, 11119, 14020, 423, -26218, -16514, 24037, -25607],[-6536, -26727, -19533, 9533, -26651, 12438, 11122, -19500, -1753, 20339, -26656, 24253, -23411, -15984, -2930, -16767, -23173, -14520, 4661, -12550],[-12418, 14160, -14561, 1835, -13744, 7465, 30933, 32639, 21164, -15770, -720, 17783, 20812, -29518, -8703, 19644, 16639, 21606, 31976, -4111],[27946, 17051, -12678, 18759, -22169, -26722, -5563, 23472, -24240, 30785, -20668, -6154, -27654, 31472, 22501, -25888, 30819, 26609, -29326, -13554],[11483, -3829, 338, -22884, 17463, 279, -333, 23232, -11983, 29939, 1614, 18754, -21783, 3901, -5045, -944, -1583, 3662, 14025, -17698]]"
values_70,4,"[[-29211, -9854, -25345, 5385],[16865, -12587, 10548, 10914],[-12397, -1150, -8855, 8005],[5124, 24751, 15303, 26827]]","[[-22740, -29156, 8949, 3721],[7430, 12787, 16317, -28803],[-14667, 26283, 32448, -23864],[-25862, 7179, -25009, -18945]]"
values_23,7,"[[-4497, -18170, 31621, 19371, -19050, 30627, 19383],[26697, -12615, -29822, -1790, -32478, -4740, 20931],[-11759, 32232, -23234, -18895, 26258, 22965, -5257],[-6448, 28197, -8076, -4668, -30519, 10581, -25045],[10227, -25699, -27358, -1849, 4380, 18286, 9315],[13817, -1523, -2253, -12351, -3608, -745, -7314],[15456, 21876, 22670, -30311, 26207, -2859, 1370]]","[[-9139, -3505, 741, -29967, -14915, -29373, 21453],[-24502, -18761, 30634, -2748, -7384, -25410, 23741],[14647, 11973, -12516, 5495, 19665, -31019, 14332],[-27883, -93, -25132, 24955, -8564, 28, -20295],[23495, -19659, -5143, 22424, 8031, 14736, -23850],[12298, -23811, -11734, -23790, 15810, -18752, 22121],[13531, -5945, -23424, -31165, 31682, 16575, 11872]]"
values_72,8,"[[-28087, -4920, 11470, 23392, -28657, -7278, 9461, 18120],[23968, 3163, 20263, -20655, 1466, 11915, 24785, 9457],[-5630, -32210, 19129, -26432, 10534, -4525, 31868, 17522],[17974, 7268, 7078, -16031, -13763, -8100, -3164, 2326],[-6141, -12804, 10869, -5129, -10159, -14347, 4599, -23288],[860, 21366, 13144, -4929, 21352, 16303, 32276, -16434],[21392, -24216, 13792, -29181, 13448, 27238, 12287, 23786],[-21210, -15089, 9821, -21737, -26648, 31923, 27876, 32215]]","[[-24699, -235, 7026, -14099, -14826, 2027, -26026, -29246],[-16090, 29370, -3045, 15557, 27632, -5849, -1391, -19386],[-25317, -20142, -16995, -31614, 28397, 24766, -9748, -4622],[2387, 1692, 2995, 24507, -4080, 8027, 21485, 6250],[-25998, 9113, -114, 8881, 16244, 12607, -942, -24211],[7551, 17610, 30336, -1326, -23555, -4958, 23913, -3196],[17443, -20164, -12995, -13511, -21566, 1401, 28747, 27362],[-13646, -17638, -743, -14645, -24684, 21495, -22412, 16720]]"
