inputName,nn,isign
11,4,1
19,4,1
12,4,1
38,4,1
81,4,1
5,1,1
40,3,1
70,1,1
23,3,1
72,1,1
79,1,1
78,1,1
87,4,1
6,1,1
68,1,1
69,1,1
1,1,1
45,3,1
33,4,1
15,4,1
93,3,1
24,3,1
25,3,1
26,3,1
48,3,1
71,1,1
76,1,1
7,1,1
50,1,1
22,3,1
4,1,1
32,4,1
77,1,1
91,3,1
42,3,1
13,4,1
41,3,1
55,1,1
31,4,1
66,1,1
65,1,1
62,1,1
21,3,1
95,3,1
84,4,1
58,1,1
64,1,1
83,4,1
94,3,1
0,1,1
99,3,1
96,3,1
67,1,1
61,1,1
43,3,1
2,1,1
54,1,1
30,4,1
59,1,1
85,4,1
74,1,1
90,3,1
18,4,1
52,1,1
44,3,1
17,4,1
36,4,1
49,3,1
86,4,1
37,4,1
56,1,1
63,1,1
35,4,1
97,3,1
75,1,1
57,1,1
88,4,1
10,4,1
53,1,1
8,1,1
39,4,1
47,3,1
60,1,1
89,4,1
51,1,1
14,4,1
28,3,1
16,4,1
34,4,1
82,4,1
46,3,1
27,3,1
20,3,1
9,1,1
92,3,1
3,1,1
98,3,1
29,3,1
80,4,1
73,1,1
