inputName,n
values_11,10
values_19,19
values_12,7
values_38,4
values_81,17
values_5,5
values_40,20
values_70,4
values_23,17
values_72,2
values_79,8
values_78,31
values_87,32
values_6,19
values_68,15
values_69,30
values_1,17
values_45,32
values_33,9
values_15,24
values_93,5
values_24,31
values_25,23
values_26,18
values_48,32
values_71,17
values_76,20
values_7,3
values_50,7
values_22,19
values_4,23
values_32,8
values_77,10
values_91,4
values_42,26
values_13,4
values_41,7
values_55,17
values_31,23
values_66,26
values_65,10
values_62,32
values_21,30
values_95,31
values_84,23
values_58,4
values_64,20
values_83,11
values_94,13
values_0,18
values_99,15
values_96,30
values_67,20
values_61,20
values_43,18
values_2,26
values_54,27
values_30,24
values_59,32
values_85,17
values_74,17
values_90,13
values_18,31
values_52,9
values_44,27
values_17,4
values_36,5
values_49,16
values_86,9
values_37,19
values_56,11
values_63,25
values_35,11
values_97,23
values_75,10
values_57,17
values_88,29
values_10,6
values_53,27
values_8,2
values_39,3
values_47,10
values_60,20
values_89,8
values_51,24
values_14,5
values_28,3
values_16,8
values_34,26
values_82,10
values_46,8
values_27,24
values_20,25
values_9,18
values_92,15
values_3,19
values_98,25
values_29,32
values_80,16
values_73,15
