inputName,size,a[size]
values_11,4,"{1948764294, 1902740280, 732176731, 1001913630"
values_19,32,"{1211562439, -1730342362, 1922978561, -1694950499, 896027020, -1836481833, -187856205, 1385496234, -331955230, -580392064, -1897109125, -416459491, -511027352, 623820651, 847121519, 478290524, 639945899, -523703251, 2133166916, -231858240, 936238930, 642062337, 603045057, -274616009, 787044922, 1894064318, 903562895, 1151327507, 1345211859, 1934880144, 611807844, -689915670"
values_12,11,"{1249497636, 1006367980, 1719721559, 1836446806, -1708919573, 994199126, -813400014, -618192687, -557276554, -774029852, 1027446315"
values_38,2,"{911696062, 1676913283"
values_81,13,"{1118571921, 1273191703, -2100426710, 1301241317, -328097068, -653744335, 123543948, 1047825428, -967668633, 1093786240, -564692429, 438504972, 18787905"
values_5,13,"{-1877406632, -117584217, 690129389, 2063684956, -1265882268, -1070454920, -39762654, -387119282, -610856060, 1126620554, 366058722, -1429097597, 1224912506"
values_40,6,"{-615322970, 1893883914, -953059609, -1436631242, 1578619002, 871912368"
values_70,13,"{940707628, 728677535, 1497732505, 491257365, 1956383701, -145266518, -622041262, 2018399565, 169188221, 2005599447, -1719467798, 2072685456, -1969463997"
values_23,19,"{1713720554, 722202365, -977620222, -469034335, 696446745, 510847665, -1329715622, -757093496, -1271408446, -1628582420, -958768875, -1613253205, -1984895052, 1182697582, -726102570, -1683699130, -2105536805, 986823453, 431646252"
values_72,18,"{-1294282656, -1609267006, 2137279883, 279831625, 1378469095, -484920730, -1761656817, 192488593, 1507648178, 1416183508, 297812069, -1354842129, -1388798726, -1911903132, -1207088549, -702434349, -805233235, -98592053"
values_79,6,"{1379723756, 1459646578, -1623672009, -441714012, -1367449675, 275320455"
values_78,11,"{1649563895, 624878098, 101079542, 34538348, 865398239, -55311277, -228019921, 1637970051, -1525880182, 1236928663, -769372"
values_87,31,"{-1168736039, 737630016, 1225752251, 1166449407, -1254584659, -2061630331, -655651364, -216688827, 401424783, -2043198532, 528439919, -324906436, -388383734, -1738687922, -2016816323, 390211525, -450524906, 650803435, 1109696768, -1903850523, 1510669714, -1753277397, -1104027140, -507982682, 428081501, -1370216285, 870105844, 1077887144, -1985763697, 252056626, 1090349160"
values_6,8,"{1288307564, 292385192, 1362246397, 1495626778, -371639929, -709588801, -997270585, -1106498019"
values_68,25,"{-717081581, 24031022, 498839216, 167105945, -127898238, -1890019622, 1286300251, 618297731, 637306884, -1601344775, -2089762173, 1971748035, -488935200, 797900144, -1107116303, 866001408, 245767229, -1903007249, 2083988795, -1162713171, -520276541, 1442221636, 1195509977, 201091904, -592013928"
values_69,8,"{-1228803933, -832337429, -1229852804, -477542740, 1784186303, -1035140255, 243357204, -107408409"
values_1,29,"{143609184, -1359850377, 960163745, 1506850473, -1246161602, -2095436365, -1529880195, -1678338359, 1168223080, 1550900378, 1928040360, -1973035922, 430429772, 1237006572, 1824278911, -1841983337, 239477049, 673627041, 1104487418, 1283299707, 518639744, -1503427488, -409213670, 1427664776, -514490474, -1020195721, 1022148893, 1545112279, 1038509160"
values_45,29,"{1295694566, -615061594, 479678818, 2091811859, 1434151613, -1244337710, -964610494, -359899267, -433655805, -1403069213, -132018654, -1212744794, -1324446887, 861097624, 2025041515, -593107360, 1620839297, -184170983, 635515490, 1385733881, 1926951170, -150533148, -1114637324, -1542261708, -1451558031, 1816381007, 168303523, 709789070, -2144162650"
values_33,3,"{-323880194, 660396477, -905558958"
values_15,28,"{-1001575122, -118182377, -372138083, -566539593, -304579201, 782801840, 1700371256, 1019549959, -1170003005, -2027127550, -911295046, -919083479, -1383623452, -664950073, -894867939, -139528314, -456804066, 2067134100, -445813415, -1192089296, 404269871, -1971398891, -966057267, -1692611583, 905007589, -21873115, -1787098662, -351217739"
values_93,7,"{-1847425509, -367812084, -479378108, -832247383, 849169708, -1081774658, -485476523"
values_24,4,"{162050408, -614465912, -336082019, -1064388372"
values_25,7,"{2042316521, -1036051545, 374610870, 2011913132, 646686144, 1305206678, -1953635783"
values_26,15,"{41841738, -1631309196, 804975074, 286889368, -1988859499, 1384083354, 1621779757, 338020477, 454665408, -845096369, 519830494, 1144879326, 447211685, 334659483, 866617552"
values_48,23,"{-1615044563, -1181969828, -1160528239, -1750805163, -2022577767, 310219646, 1427128073, -1220263325, 987796082, 147902140, 23326991, 1477717294, -1047161242, 1389302433, -1671650765, 992948940, 1995370872, 2097927371, -2037879534, -1493608884, -1682998084, -1575530276, -297708350"
values_71,12,"{604568762, -1792417798, 1419857650, 528385613, -965519699, -54686922, -842867799, -1094665878, -1318150777, 310824514, -902895295, -961829936"
values_76,27,"{-611278079, 1132750040, 328366359, 1173777881, -1026348117, -1217054170, -1079878384, 1416626292, 32182460, 1619175574, 1272496895, 1926292494, 1696526894, -1401075001, 771970967, -1879182216, 982086550, -1816809042, -271478124, 140871777, -1641368400, 1037854440, 628310252, 304581817, 275158687, 1888135342, 1735970744"
values_7,32,"{-1323539995, 1556307121, 1515657969, 35220207, -810830813, 2065652596, -1460514128, 2069609926, 1772180912, 958383691, 1600991262, -290628317, 1459113544, 1683672809, 2103238958, -427003561, -612831109, -71512871, -1779173782, 1698804814, -1426024942, -695217958, -771208792, -790656339, -1905948213, 1100957764, 1551997952, -376192915, -671619095, -1425424469, 1404560268, 66966394"
values_50,21,"{1659185977, 1817154137, 1317554611, -1080753423, -1453156591, 178698777, 408080297, -1340215509, -1408955244, -2071486466, -800230137, -1389082985, -907733504, -671629301, -1842596218, -1717037593, 2038728823, -1175339316, -166578892, 308293112, 746194513"
values_22,28,"{-202520109, 2108915438, -40598552, 272340522, -946365773, 1857410789, 244827638, -1300613738, -189520020, -1418632351, 690277833, -1872750684, 484815898, -1636093789, -330124410, -553052724, 1203270847, -218946996, 53599533, 1082102022, -1811571224, -1923653125, -1902285374, -1604931823, 1363894246, 1598833827, 1663486082, 1828250584"
values_4,31,"{932005972, -1234888554, 195183191, -1137794223, -1936282249, 2119891342, 440091320, 1309538989, -1758248807, 187522075, 324672797, 963449202, 1608543360, 1946838024, 675460133, -1398086920, -447902048, -1096902572, 191103521, -2033927781, -1627648495, 1918311537, -878679146, -190205413, 273994067, 1250355948, 393582288, -1482256058, 1644872248, 878209816, 1601689354"
values_32,9,"{1164802121, -1583271306, -769652650, -1551818441, 1817149630, 1585782636, 446754388, -2037537517, 1395612727"
values_77,11,"{-775698997, -745153113, 1156255755, -1015535083, -299479299, 377319458, -223469318, 726596616, 1548017940, -1704901221, 2015844145"
values_91,30,"{1786852131, -1552293295, 1679506705, 1317843403, 1447002853, -312398235, 1335185543, 2033141012, 1291467860, 809006681, 1910272688, -1099542124, 1547616117, -211050923, -1625642647, -54835759, 918984529, 454050325, 1771316910, 1278752995, 706212055, -962568574, 1063527961, 28121845, -392703326, -1611692299, -784332371, -1909365691, -726280929, 279653293"
values_42,25,"{1626424163, 601365341, -1827145568, -1135735265, -799807899, 925990436, -1814260933, 1226244302, -264850970, -891951601, 1670186688, 1526949291, 577220633, -922926003, -662918986, 62240496, 1261348244, -281417569, 1664604816, 414171187, -1497963324, 2137584592, 673706011, -1703806308, -617280627"
