inputName,size
11,4
19,6
12,13
38,20
81,14
5,21
40,21
70,21
23,2
72,30
79,30
78,32
87,28
6,32
68,27
69,24
1,24
45,3
33,30
15,26
93,8
24,13
25,21
26,7
48,6
71,11
76,11
7,16
50,3
22,2
4,15
32,4
77,28
91,11
42,8
13,15
41,25
55,15
31,23
66,22
65,23
62,21
21,9
95,29
84,25
58,24
64,12
83,22
94,6
0,10
99,31
96,11
67,23
61,26
43,2
2,23
54,25
30,26
59,6
85,16
74,25
90,16
18,28
52,9
44,9
17,28
36,23
49,23
86,3
37,17
56,5
63,3
35,3
97,26
75,26
57,17
88,16
10,30
53,5
8,9
39,18
47,2
60,7
89,23
51,6
14,11
28,22
16,7
34,6
82,5
46,30
27,18
20,9
9,5
92,25
3,20
98,23
29,32
80,16
73,2
