inputName,n
11,7504
19,5695
12,27604
38,22887
81,6646
5,22861
40,25961
70,3541
23,7969
72,13910
79,20590
78,2732
87,22933
6,21797
68,1121
69,12234
1,17575
45,2122
33,18335
15,18302
93,6349
24,21374
25,8532
26,25017
48,21457
71,20355
76,12464
7,24743
50,26278
22,12297
4,11016
32,6167
77,721
91,12018
42,29981
13,17982
41,8267
55,11513
31,10622
66,5250
65,18400
62,28192
21,15126
95,14287
84,30914
58,19205
64,18078
83,31982
94,22752
0,24486
99,18797
96,8434
67,15902
61,10066
43,32133
2,31016
54,18473
30,24943
59,2043
85,11274
74,8975
90,32701
18,21455
52,22260
44,15956
17,20367
36,8518
49,26112
86,12032
37,19125
56,3465
63,22766
35,6643
97,1462
75,15393
57,593
88,11411
10,9500
53,9731
8,17501
39,1548
47,13622
60,32054
89,2616
51,25235
14,10576
28,15160
16,4898
34,29423
82,14830
46,28476
27,6220
20,4054
9,12055
92,13982
3,7697
98,15402
29,31940
80,64
73,27586
