inputName,val
11,61
19,16
12,116
38,4
81,52
5,46
40,87
70,100
23,62
72,88
79,119
78,74
87,66
6,40
68,110
69,77
1,73
45,76
33,125
15,118
93,75
24,112
25,77
26,61
48,106
71,94
76,40
7,99
50,120
22,46
4,42
32,8
77,42
91,34
42,58
13,97
41,36
55,73
31,101
66,113
65,52
62,64
21,91
95,62
84,69
58,122
64,87
83,54
94,90
0,68
99,50
96,122
67,80
61,23
43,93
2,23
54,89
30,86
59,113
85,42
74,80
90,65
18,118
52,37
44,114
17,113
36,74
49,7
86,83
37,86
56,20
63,100
35,37
97,25
75,95
57,7
88,4
10,2
53,79
8,124
39,81
47,110
60,111
89,63
51,45
14,103
28,75
16,64
34,79
82,48
46,26
27,27
20,32
9,112
92,7
3,19
98,70
29,104
80,111
73,98
