inputName,val
values_11,1329318627
values_19,1060338966
values_12,1139187739
values_38,861975426
values_81,364289139
values_5,1327186857
values_40,1030791297
values_70,430238306
values_23,1656386870
values_72,317242378
values_79,616490067
values_78,342495913
values_87,305604990
values_6,1018093601
values_68,686602709
values_69,1913605469
values_1,54187975
values_45,2138772967
values_33,154638551
values_15,1084479463
values_93,1268999137
values_24,303743744
values_25,1685543382
values_26,1573503204
values_48,385718141
values_71,2144084107
values_76,1643111793
values_7,1456507147
values_50,1013446551
values_22,641232185
values_4,501625913
values_32,56422514
values_77,467187226
values_91,1295529540
values_42,1743156245
values_13,2131186217
values_41,263650049
values_55,707186036
values_31,685683684
values_66,1242946573
values_65,1445958844
values_62,435196572
values_21,1434477408
values_95,1566698198
values_84,2716257
values_58,1052745788
values_64,1228258973
values_83,399631256
values_94,1268729838
values_0,623122999
values_99,562722370
values_96,54933961
values_67,1123229481
values_61,1494481742
values_43,517336124
values_2,193563964
values_54,10078548
values_30,1323344212
values_59,978600864
values_85,356467409
values_74,807645643
values_90,1570647704
values_18,280690239
values_52,1591974728
values_44,1949959111
values_17,1629469124
values_36,751831904
values_49,911076046
values_86,922043958
values_37,1053797065
values_56,1665735889
values_63,308610793
values_35,1158327874
values_97,1383511998
values_75,1369593262
values_57,1437224619
values_88,1872090588
values_10,1635629770
values_53,1587504753
values_8,1611415941
values_39,2034768620
values_47,2086850700
values_60,392844864
values_89,1088216476
values_51,470859083
values_14,1807956534
values_28,1097660598
values_16,1753976110
values_34,1280620189
values_82,159813589
values_46,781376997
values_27,215856629
values_20,620358647
values_9,2010157192
values_92,1947293806
values_3,2113550152
values_98,1847686849
values_29,1855405897
values_80,402636506
values_73,386608282
