inputName,key
11,7
19,25
12,32
38,25
81,7
5,29
40,6
70,6
23,10
72,32
79,25
78,25
87,24
6,2
68,25
69,25
1,7
45,29
33,10
15,29
93,10
24,12
25,29
26,2
48,25
71,7
76,2
7,24
50,6
22,32
4,12
32,32
77,24
91,7
42,32
13,10
41,7
55,29
31,7
66,2
65,29
62,32
21,7
95,29
84,12
58,25
64,12
83,10
94,12
0,6
99,25
96,2
67,24
61,7
43,10
2,32
54,12
30,6
59,25
85,29
74,12
90,6
18,25
52,32
44,12
17,24
36,2
49,25
86,2
37,24
56,2
63,10
35,29
97,24
75,29
57,24
88,25
10,6
53,10
8,25
39,25
47,24
60,6
89,25
51,7
14,12
28,25
16,2
34,12
82,32
46,2
27,24
20,6
9,25
92,32
3,10
98,25
29,25
80,6
73,10
