inputName,n
11,28
19,28
12,28
38,28
81,9
5,5
40,5
70,22
23,14
72,22
79,22
78,22
87,9
6,5
68,2
69,2
1,5
45,5
33,28
15,28
93,5
24,14
25,14
26,14
48,5
71,22
76,22
7,5
50,26
22,14
4,5
32,28
77,22
91,5
42,5
13,28
41,5
55,26
31,28
66,2
65,2
62,2
21,14
95,5
84,9
58,26
64,2
83,9
94,5
0,5
99,5
96,5
67,2
61,2
43,5
2,5
54,26
30,28
59,26
85,9
74,22
90,5
18,28
52,26
44,5
17,28
36,28
49,5
86,9
37,28
56,26
63,2
35,28
97,5
75,22
57,26
88,9
10,28
53,26
8,5
39,28
47,5
60,2
89,9
51,26
14,28
28,14
16,28
34,28
82,9
46,5
27,14
20,14
9,5
92,5
3,5
98,5
29,14
80,9
73,22
