inputName,n
11,28
19,22
12,24
38,17
81,13
5,25
40,5
70,24
23,5
72,12
79,18
78,19
87,25
6,6
68,30
69,8
1,10
45,28
33,19
15,5
93,12
24,2
25,12
26,14
48,4
71,25
76,11
7,29
50,24
22,9
4,13
32,2
77,9
91,9
42,7
13,31
41,19
55,15
31,19
66,26
65,23
62,8
21,23
95,16
84,13
58,25
64,32
83,11
94,28
0,9
99,3
96,3
67,7
61,13
43,20
2,25
54,15
30,24
59,29
85,23
74,29
90,21
18,7
52,31
44,9
17,8
36,7
49,14
86,28
37,25
56,23
63,28
35,30
97,13
75,22
57,27
88,21
10,26
53,2
8,23
39,29
47,4
60,27
89,18
51,21
14,9
28,27
16,11
34,17
82,25
46,13
27,18
20,13
9,19
92,3
3,10
98,21
29,25
80,7
73,21
