inputName,size
11,5
19,24
12,18
38,13
81,16
5,16
40,20
70,9
23,7
72,21
79,16
78,2
87,6
6,8
68,14
69,25
1,16
45,5
33,3
15,26
93,23
24,10
25,25
26,13
48,12
71,10
76,22
7,13
50,20
22,23
4,15
32,20
77,24
91,20
42,11
13,6
41,11
55,10
31,19
66,14
65,25
62,22
21,24
95,4
84,11
58,24
64,10
83,24
94,23
0,8
99,17
96,7
67,25
61,6
43,2
2,7
54,5
30,15
59,21
85,3
74,13
90,7
18,6
52,19
44,5
17,16
36,21
49,4
86,6
37,22
56,25
63,25
35,7
97,23
75,8
57,12
88,9
10,24
53,8
8,21
39,14
47,17
60,9
89,13
51,13
14,13
28,24
16,6
34,3
82,14
46,23
27,3
20,20
9,18
92,15
3,19
98,7
29,9
80,24
73,15
