inputName,key
11,21
19,19
12,24
38,6
81,21
5,2
40,16
70,16
23,12
72,24
79,19
78,6
87,13
6,2
68,6
69,19
1,21
45,2
33,12
15,2
93,12
24,30
25,2
26,2
48,6
71,21
76,2
7,13
50,16
22,24
4,30
32,24
77,13
91,21
42,24
13,12
41,21
55,2
31,21
66,2
65,2
62,24
21,21
95,2
84,30
58,6
64,30
83,12
94,30
0,16
99,19
96,2
67,13
61,21
43,12
2,24
54,30
30,16
59,19
85,2
74,30
90,16
18,6
52,24
44,30
17,13
36,2
49,19
86,2
37,13
56,2
63,12
35,2
97,13
75,2
57,13
88,6
10,16
53,12
8,6
39,19
47,13
60,16
89,19
51,21
14,30
28,6
16,2
34,30
82,24
46,2
27,13
20,16
9,19
92,24
3,12
98,6
29,19
80,16
73,12
