inputName,n
11,4
19,4
12,4
38,24
81,21
5,27
40,6
70,14
23,6
72,14
79,14
78,14
87,21
6,27
68,18
69,18
1,27
45,6
33,24
15,4
93,13
24,6
25,6
26,6
48,6
71,14
76,14
7,27
50,24
22,6
4,27
32,24
77,14
91,13
42,6
13,4
41,6
55,24
31,24
66,18
65,18
62,18
21,6
95,13
84,21
58,24
64,18
83,21
94,13
0,27
99,13
96,13
67,18
61,18
43,6
2,27
54,24
30,24
59,24
85,21
74,14
90,13
18,4
52,24
44,6
17,4
36,24
49,6
86,21
37,24
56,24
63,18
35,24
97,13
75,14
57,24
88,21
10,4
53,24
8,27
39,24
47,6
60,18
89,21
51,24
14,4
28,6
16,4
34,24
82,21
46,6
27,6
20,6
9,27
92,13
3,27
98,13
29,6
80,21
73,14
