inputName,n
values_11,9
values_19,8
values_12,20
values_38,23
values_81,26
values_5,11
values_40,26
values_70,18
values_23,11
values_72,17
values_79,24
values_78,26
values_87,22
values_6,25
values_68,7
values_69,11
values_1,29
values_45,22
values_33,25
values_15,28
values_93,21
values_24,12
values_25,17
values_26,18
values_48,6
values_71,24
values_76,11
values_7,23
values_50,17
values_22,9
values_4,11
values_32,16
values_77,2
values_91,10
values_42,28
values_13,26
values_41,20
values_55,16
values_31,4
values_66,14
values_65,15
values_62,29
values_21,27
values_95,7
values_84,20
values_58,25
values_64,23
values_83,31
values_94,25
values_0,9
values_99,9
values_96,16
values_67,32
values_61,20
values_43,32
values_2,15
values_54,20
values_30,16
values_59,26
values_85,25
values_74,18
values_90,19
values_18,6
values_52,24
values_44,17
values_17,19
values_36,10
values_49,12
values_86,16
values_37,30
values_56,4
values_63,2
values_35,4
values_97,30
values_75,3
values_57,8
values_88,26
values_10,29
values_53,27
values_8,16
values_39,19
values_47,6
values_60,32
values_89,5
values_51,29
values_14,2
values_28,3
values_16,29
values_34,10
values_82,11
values_46,25
values_27,12
values_20,5
values_9,18
values_92,27
values_3,13
values_98,28
values_29,21
values_80,32
values_73,20
