inputName,k
11,139
19,139
12,139
38,81
81,11
5,180
40,133
70,232
23,104
72,232
79,232
78,232
87,11
6,180
68,155
69,155
1,180
45,133
33,81
15,139
93,65
24,104
25,104
26,104
48,133
71,232
76,232
7,180
50,99
22,104
4,180
32,81
77,232
91,65
42,133
13,139
41,133
55,99
31,81
66,155
65,155
62,155
21,104
95,65
84,11
58,99
64,155
83,11
94,65
0,180
99,65
96,65
67,155
61,155
43,133
2,180
54,99
30,81
59,99
85,11
74,232
90,65
18,139
52,99
44,133
17,139
36,81
49,133
86,11
37,81
56,99
63,155
35,81
97,65
75,232
57,99
88,11
10,139
53,99
8,180
39,81
47,133
60,155
89,11
51,99
14,139
28,104
16,139
34,81
82,11
46,133
27,104
20,104
9,180
92,65
3,180
98,65
29,104
80,11
73,232
