inputName,key
11,18
19,29
12,32
38,15
81,18
5,30
40,5
70,5
23,31
72,32
79,29
78,15
87,20
6,12
68,15
69,29
1,18
45,30
33,31
15,30
93,31
24,13
25,30
26,12
48,15
71,18
76,12
7,20
50,5
22,32
4,13
32,32
77,20
91,18
42,32
13,31
41,18
55,30
31,18
66,12
65,30
62,32
21,18
95,30
84,13
58,15
64,13
83,31
94,13
0,5
99,29
96,12
67,20
61,18
43,31
2,32
54,13
30,5
59,29
85,30
74,13
90,5
18,15
52,32
44,13
17,20
36,12
49,29
86,12
37,20
56,12
63,31
35,30
97,20
75,30
57,20
88,15
10,5
53,31
8,15
39,29
47,20
60,5
89,29
51,18
14,13
28,15
16,12
34,13
82,32
46,12
27,20
20,5
9,29
92,32
3,31
98,15
29,29
80,5
73,31
