inputName,size
11,15
19,20
12,3
38,4
81,10
5,23
40,7
70,10
23,8
72,12
79,14
78,16
87,4
6,10
68,24
69,6
1,22
45,6
33,15
15,12
93,3
24,17
25,6
26,14
48,23
71,18
76,17
7,6
50,19
22,25
4,12
32,13
77,14
91,22
42,10
13,26
41,21
55,12
31,6
66,20
65,14
62,8
21,6
95,8
84,20
58,17
64,23
83,12
94,4
0,22
99,7
96,12
67,11
61,2
43,17
2,25
54,3
30,25
59,24
85,22
74,5
90,23
18,13
52,8
44,8
17,14
36,17
49,3
86,9
37,12
56,8
63,8
35,10
97,14
75,21
57,4
88,12
10,25
53,7
8,5
39,7
47,16
60,22
89,2
51,8
14,25
28,20
16,12
34,24
82,12
46,23
27,5
20,6
9,10
92,11
3,19
98,24
29,2
80,22
73,11
