inputName,n
values_11,12
values_19,25
values_12,6
values_38,3
values_81,30
values_5,18
values_40,27
values_70,32
values_23,17
values_72,19
values_79,4
values_78,20
values_87,28
values_6,4
values_68,13
values_69,10
values_1,28
values_45,30
values_33,21
values_15,25
values_93,17
values_24,32
values_25,32
values_26,2
values_48,7
values_71,8
values_76,15
values_7,32
values_50,27
values_22,26
values_4,20
values_32,24
values_77,9
values_91,7
values_42,25
values_13,5
values_41,29
values_55,4
values_31,5
values_66,17
values_65,30
values_62,2
values_21,26
values_95,14
values_84,29
values_58,14
values_64,22
values_83,30
values_94,8
values_0,24
values_99,11
values_96,5
values_67,7
values_61,3
values_43,6
values_2,8
values_54,16
values_30,11
values_59,21
values_85,17
values_74,32
values_90,27
values_18,7
values_52,13
values_44,27
values_17,8
values_36,32
values_49,23
values_86,11
values_37,24
values_56,25
values_63,27
values_35,18
values_97,18
values_75,26
values_57,26
values_88,17
values_10,24
values_53,5
values_8,26
values_39,29
values_47,19
values_60,28
values_89,6
values_51,5
values_14,13
values_28,22
values_16,29
values_34,18
values_82,31
values_46,15
values_27,7
values_20,27
values_9,18
values_92,2
values_3,9
values_98,6
values_29,21
values_80,7
values_73,19
