inputName,n
11,12
19,25
12,6
38,3
81,30
5,18
40,27
70,32
23,17
72,19
79,4
78,20
87,28
6,4
68,13
69,10
1,28
45,30
33,21
15,25
93,17
24,32
25,32
26,2
48,7
71,8
76,15
7,32
50,27
22,26
4,20
32,24
77,9
91,7
42,25
13,5
41,29
55,4
31,5
66,17
65,30
62,2
21,26
95,14
84,29
58,14
64,22
83,30
94,8
0,24
99,11
96,5
67,7
61,3
43,6
2,8
54,16
30,11
59,21
85,17
74,32
90,27
18,7
52,13
44,27
17,8
36,32
49,23
86,11
37,24
56,25
63,27
35,18
97,18
75,26
57,26
88,17
10,24
53,5
8,26
39,29
47,19
60,28
89,6
51,5
14,13
28,22
16,29
34,18
82,31
46,15
27,7
20,27
9,18
92,2
3,9
98,6
29,21
80,7
73,19
