inputName,n
values_11,3
values_19,22
values_12,2
values_38,15
values_81,2
values_5,15
values_40,9
values_70,2
values_23,8
values_72,29
values_79,31
values_78,14
values_87,25
values_6,7
values_68,23
values_69,8
values_1,5
values_45,8
values_33,5
values_15,26
values_93,9
values_24,6
values_25,6
values_26,18
values_48,30
values_71,10
values_76,6
values_7,20
values_50,20
values_22,12
values_4,14
values_32,6
values_77,14
values_91,4
values_42,17
values_13,27
values_41,11
values_55,11
values_31,21
values_66,7
values_65,11
values_62,3
values_21,32
values_95,18
values_84,16
values_58,15
values_64,26
values_83,16
values_94,32
values_0,28
values_99,28
values_96,8
values_67,2
values_61,30
values_43,16
values_2,18
values_54,26
values_30,15
values_59,5
values_85,26
values_74,6
values_90,23
values_18,28
values_52,30
values_44,29
values_17,2
values_36,11
values_49,6
values_86,11
values_37,5
values_56,19
values_63,31
values_35,12
values_97,25
values_75,29
values_57,6
values_88,11
values_10,12
values_53,31
values_8,14
values_39,19
values_47,21
values_60,23
values_89,6
values_51,15
values_14,19
values_28,31
values_16,21
values_34,27
values_82,20
values_46,6
values_27,26
values_20,14
values_9,23
values_92,12
values_3,25
values_98,17
values_29,22
values_80,31
values_73,19
