inputName,size
11,7
19,8
12,27
38,27
81,10
5,9
40,27
70,7
23,19
72,19
79,16
78,29
87,22
6,27
68,24
69,4
1,20
45,19
33,11
15,16
93,23
24,32
25,3
26,25
48,12
71,13
76,11
7,9
50,2
22,23
4,3
32,22
77,6
91,4
42,10
13,25
41,4
55,5
31,24
66,8
65,21
62,24
21,15
95,18
84,12
58,25
64,31
83,10
94,16
0,23
99,6
96,19
67,14
61,23
43,13
2,7
54,15
30,31
59,16
85,27
74,2
90,29
18,4
52,23
44,30
17,17
36,19
49,7
86,8
37,30
56,26
63,9
35,9
97,18
75,28
57,10
88,10
10,27
53,24
8,32
39,20
47,10
60,32
89,29
51,29
14,5
28,29
16,29
34,5
82,32
46,23
27,25
20,8
9,6
92,14
3,14
98,19
29,10
80,8
73,5
