inputName,key
11,15
19,24
12,30
38,30
81,15
5,20
40,16
70,16
23,2
72,30
79,24
78,30
87,6
6,20
68,30
69,24
1,15
45,20
33,2
15,20
93,2
24,25
25,20
26,20
48,30
71,15
76,20
7,6
50,16
22,30
4,25
32,30
77,6
91,15
42,30
13,2
41,15
55,20
31,15
66,20
65,20
62,30
21,15
95,20
84,25
58,30
64,25
83,2
94,25
0,16
99,24
96,20
67,6
61,15
43,2
2,30
54,25
30,16
59,24
85,20
74,25
90,16
18,30
52,30
44,25
17,6
36,20
49,24
86,20
37,6
56,20
63,2
35,20
97,6
75,20
57,6
88,30
10,16
53,2
8,30
39,24
47,6
60,16
89,24
51,15
14,25
28,30
16,20
34,25
82,30
46,20
27,6
20,16
9,24
92,30
3,2
98,30
29,24
80,16
73,2
