inputName,n
11,2
19,2
12,2
38,9
81,31
5,28
40,31
70,17
23,9
72,17
79,17
78,17
87,31
6,28
68,18
69,18
1,28
45,31
33,9
15,2
93,30
24,9
25,9
26,9
48,31
71,17
76,17
7,28
50,16
22,9
4,28
32,9
77,17
91,30
42,31
13,2
41,31
55,16
31,9
66,18
65,18
62,18
21,9
95,30
84,31
58,16
64,18
83,31
94,30
0,28
99,30
96,30
67,18
61,18
43,31
2,28
54,16
30,9
59,16
85,31
74,17
90,30
18,2
52,16
44,31
17,2
36,9
49,31
86,31
37,9
56,16
63,18
35,9
97,30
75,17
57,16
88,31
10,2
53,16
8,28
39,9
47,31
60,18
89,31
51,16
14,2
28,9
16,2
34,9
82,31
46,31
27,9
20,9
9,28
92,30
3,28
98,30
29,9
80,31
73,17
