inputName,k
11,142
19,142
12,142
38,171
81,159
5,59
40,178
70,13
23,189
72,13
79,13
78,13
87,159
6,59
68,65
69,65
1,59
45,178
33,171
15,142
93,124
24,189
25,189
26,189
48,178
71,13
76,13
7,59
50,142
22,189
4,59
32,171
77,13
91,124
42,178
13,142
41,178
55,142
31,171
66,65
65,65
62,65
21,189
95,124
84,159
58,142
64,65
83,159
94,124
0,59
99,124
96,124
67,65
61,65
43,178
2,59
54,142
30,171
59,142
85,159
74,13
90,124
18,142
52,142
44,178
17,142
36,171
49,178
86,159
37,171
56,142
63,65
35,171
97,124
75,13
57,142
88,159
10,142
53,142
8,59
39,171
47,178
60,65
89,159
51,142
14,142
28,189
16,142
34,171
82,159
46,178
27,189
20,189
9,59
92,124
3,59
98,124
29,189
80,159
73,13
