inputName,n
11,21
19,29
12,28
38,29
81,5
5,23
40,20
70,21
23,6
72,19
79,10
78,19
87,17
6,29
68,13
69,14
1,5
45,29
33,23
15,14
93,2
24,32
25,30
26,10
48,13
71,18
76,15
7,26
50,29
22,6
4,27
32,31
77,30
91,6
42,20
13,13
41,7
55,6
31,11
66,15
65,30
62,30
21,11
95,11
84,2
58,10
64,31
83,9
94,10
0,30
99,32
96,6
67,18
61,10
43,19
2,4
54,25
30,24
59,22
85,31
74,10
90,4
18,31
52,26
44,20
17,18
36,21
49,10
86,25
37,29
56,5
63,26
35,16
97,8
75,2
57,22
88,13
10,16
53,29
8,8
39,16
47,5
60,11
89,31
51,29
14,12
28,3
16,17
34,29
82,31
46,21
27,6
20,28
9,27
92,22
3,19
98,10
29,24
80,12
73,6
