inputName,size,a[size][size],b[size][size]
values_11,6,"[[-340653278, -2004779507, 1956069846, 1129988877, 455911778, -1131531928],[-2068004332, 1118952565, -180992894, 432757375, 1738321387, -552689713],[1158250951, 1628107273, 1748424107, -556483563, -1583526139, -2109304216],[200966578, -1563124987, 1118832280, 372238773, 1516722788, -1368048556],[1595559974, 1103488434, -1670321895, 1520050344, -2058907028, -1989452799],[1244155475, 259140686, 115671338, 698460087, 417037448, -1282029638]]","[[1343415685, 1683958661, 654387207, -955461284, 1549600633, -2083749537],[-1254706760, 1263830782, 1005941580, -1234337833, -131175898, 707256835],[105318800, -2113980834, -144408143, -806967231, 1401924520, -1533286584],[1289242898, -1125658860, 1362398182, 723662146, -973874138, -546487491],[2101245895, -493592456, 1875794022, 1572694886, -1241509974, 1438761848],[1407411375, -2091109696, -1673594714, -1382599677, 1446572584, -944413173]]"
values_19,3,"[[228280091, 1257067950, 1008839403],[-169845890, 1328451297, 581570396],[869195514, 1411013474, -652799843]]","[[-1669770472, -1647728861, -1438078814],[-1457925863, 2024032694, 1415229792],[16701303, -1010046790, 1187869789]]"
values_12,3,"[[-501661507, 56094887, -1825605404],[1481589152, 1896234366, -1899113529],[1022156198, -157414329, 1909269974]]","[[287791542, 745758264, -1765033562],[1274752860, 101784723, 1840249948],[-1981237168, -2124643388, 1665420172]]"
values_38,10,"[[-1692668301, -114568414, -341141082, -1152213879, 632370988, 1646591999, 420500020, -1946694054, 2030157260, 809680986],[-40849378, -1881982555, 261548176, -956684094, -205733058, 704565861, -1486935778, -2051719972, 1731235584, 319126842],[-842683312, -417746789, -492531857, -2067467176, -2002607198, 196865069, -100159190, -1417129566, -1707671816, -1388264370],[-1410872766, 1352581035, -1279196978, -1743458615, -119534219, -1394127781, -2028703918, -172671905, -646957938, 1911620979],[-1541389526, -1088417359, -1892376305, -1774837442, 585632823, 386176734, -1695156957, -725492712, -253444932, 1567338602],[2104893009, 1820750257, 1682786759, 90522589, -1574086595, 822694878, -1183326997, -2030826473, 1296092645, -1227478752],[258720230, 1814429217, 1259958236, -709408272, 592268758, -940571205, -670296954, -870801676, -1529621439, 491455706],[-1480684067, 1183895187, 1359420954, 190557242, 2024062015, -1046049011, -980662338, -425477154, -97353987, -1508796916],[649696116, -792479022, -1221313817, 225164754, 1509941963, 861981011, -776553598, 2026236033, -170505615, 2021605447],[716401839, 2144034813, 1286478412, 995401542, 1122060823, -368672218, 1834999467, 1546732688, -97282846, 1777420390]]","[[-1236166277, -385100178, -1938333248, 771162796, -1353685099, 2144594558, 2089805987, -477845063, 1486176287, 2017722394],[618694811, -753583064, 706381960, -131470291, 1514331092, -115616900, -660860302, -255495910, -2130314660, 980964021],[2117761595, 537526867, -101282871, 241701761, 1913661721, -300299908, -2083038896, -1838764689, -1814213367, 10404407],[257779351, -249103086, -1844796414, 1282518990, 1642560665, 1832881815, -1938685410, -626990046, 2044101888, -1533610163],[265827244, 2030436897, 1017893754, -1223284201, -363954444, -38445799, -1069837733, -2006850596, 383249541, 310920843],[861621722, 1608226927, -2025157126, -2040977396, -876312338, 1352551612, -1112042470, -1943026359, 2104305812, 1822341590],[-561755650, 1850571145, -1265735724, 898446550, -54999478, -1638733380, -1775320999, -1442344474, -116856226, 748119338],[551816675, -107247441, -519079347, -1862217764, 221263025, 1783177591, 885664348, 388818678, 1193545982, 1877547314],[1829215962, -1909457735, 472686810, -833428871, -1303713281, -70560047, 1996540054, 1910345453, 540806152, 413013157],[1252536511, 889182, 1850711044, 356043260, -135108777, 1890644303, 1797188859, 1612291573, -395573984, -994887568]]"
values_81,3,"[[-1902396785, 412678160, 465030151],[-1335783912, 1401244118, 1940697607],[-1454262862, -1556047895, 1157695538]]","[[1604600050, 725773609, 940994743],[-1450871996, -235224082, 1445336934],[-1676030084, -475893524, -272314569]]"
values_5,10,"[[292325499, 784897764, 1837812820, -1171112270, -2001678095, 365951929, -1713517825, -1712466507, 329327882, 581501207],[-497376268, -1396362945, -893311393, 207191631, 1231294208, 91152036, -797808288, 1137752628, -447932556, 1810117391],[604744851, -1842797346, 2146906592, -942254040, 757433162, -562737321, -128162855, 941677010, -759304808, 652882387],[519377885, -2076413443, -1792233887, -519757919, -1988087048, -1052368969, 389626197, 215764368, 1832877388, -1072396571],[2116955394, 1779747561, 758784658, -862236674, -6130305, 1020172833, 417375576, 1165673117, -60590940, -584652877],[1588415070, 401948953, -464660719, 1526320853, -1337965644, -1487480277, -2038921840, 374959721, -1016699528, -1623163107],[927759382, 467166295, -140134096, 1411756223, 678199318, -1802715645, 1856928515, 1586450895, -1562159499, 454776367],[574829271, -553162949, 127986092, -1832169442, 1960508580, -798800976, -207878260, 1400306855, 77765021, -182998359],[-1959969069, 2086345879, -76344188, -414834105, 1165794799, -191772666, 208399020, 110592188, 1245236762, 1949551247],[307449026, -636800203, 1976267707, -72933710, -207426558, 1434518300, 395350857, -709433500, -903330540, 656617370]]","[[-1995347232, 789318725, 2094774247, -339033364, -1388191605, 753108722, 657516173, -1872910904, -1441906470, 996469864],[-1771184347, -1598231447, -862134094, -123958900, -1674301539, 586340800, 1140006148, 1433374811, 1819686713, -1070139539],[-874068505, 1224084634, -1333915906, 163154346, 1265063361, -382772551, -639151166, -1025836634, -27717123, -989640509],[-777822240, -1503219567, -1964314827, -896277082, 419549419, 1398119878, 1444167482, -785463801, 1812925889, 96242680],[1139604565, 539274902, -1477008277, -13822998, 1678621331, 1200634689, -734853951, -109157532, 98617824, -1355874508],[-919049731, -146930782, 1795113512, 1730756927, -1460565253, 975762091, 183992216, 1970986691, 49676432, 1214614749],[-379713009, -1115299943, 1346901233, 1389861729, 640371296, -634883314, 1260128912, -347071709, 757246929, -648056083],[-1426786802, -1092396659, 858633800, -1484279656, 990759530, 1098448641, 2013601453, -163729396, -797447782, -573873020],[-1532148953, -660417277, 1027539128, -1819812647, 1037955272, 1695565896, -386097168, 70636837, 681839867, -1826293730],[1062002411, -916238934, -639991843, -1801085360, 1207055573, 1495275361, 1529420256, 1868851200, -755535506, -1806060484]]"
values_40,11,"[[-1661855189, -2140130936, -562952137, 225973044, 723754323, -1349031529, 360230963, -1838625032, -2084530657, -1375569643, 2133237894],[-1080879659, -911360963, -638262498, 907243904, -1510431272, 1768697824, -1066415518, 789655462, 1035367964, -1540429730, 494735293],[-1419668193, 1749509600, 2084632252, -1483219686, 1327044591, 55722536, -11679098, 2095209721, 1466370602, -585788810, 521268274],[-1060732446, 2126072987, -1111662517, -1620605026, -1472808627, 22436444, 1396035570, 1727899127, -2004996027, -825158208, 1853830435],[-621903100, 749754175, 1547819715, 465926843, -137603474, -2081819022, -1885023633, -725355878, -1237578448, -693022509, -794766749],[-537100090, -190327555, 509878931, 978856362, -1050163694, 1729326715, 106024147, 1692120966, -476209115, 989634243, 122088915],[-2136165112, 1005462104, 1276623437, -247568972, -1974434730, 143959145, -1570474754, 666728815, 672455876, 506790850, 1341454481],[-1905697332, 1574854606, -2035064281, 297618424, -350876268, -764565085, -1338505626, 381669417, -1855223523, -889348150, -1319169368],[1253696019, 1799276241, -2029863662, 515020462, -1952238703, -580319845, 146238626, -533046013, -1684390783, -1216779031, 1634963438],[-2040996534, 1480234545, -211850562, -1592405651, 829045433, 1695156755, 286363212, 761556512, 2027087122, -1870396685, 1846087312],[-1482060000, -1413651479, -874274597, -1193414535, 1687855069, 1042991322, -665883993, -1056559910, -984128055, 325943895, -1415764171]]","[[1165369180, 337144288, 966679751, -786333104, 2071749442, -1785055731, -608059882, -701004852, 1649981767, -276573643, -987318861],[-2093935478, -1308012936, 1246525148, 278839617, -2111266098, -169383841, 1762073787, 389576229, 1850455519, 591882196, 1735984648],[-697611832, -284659237, -933238386, 1076295716, 1672234005, -124792746, 1859048165, -1189385026, -1532428005, -1307342592, -507141980],[577936423, 367959569, 1171104348, -444658677, -1613646409, -938181497, 473778060, -247834544, -488796543, -2005898448, 1929521193],[-768883340, -1058540272, 1477491095, -1399569672, -1690775177, 2079979640, -549402917, -173911264, 2114802075, -1671612307, 815262098],[-1398596898, -1583965790, 634956747, -163639257, 1452956723, 1883173735, 918345909, 1321681166, 1289580609, 2091881610, 558790646],[1716089457, 1474156322, -203187038, -37178610, -974398536, -112828984, 916981424, 2088067795, 299118061, 805889160, 1427875827],[-1253523399, 1288897775, 1821490265, 1084768480, 834218651, 1647041738, 169448841, 657895362, 405068008, 2033454155, 280664548],[2139972997, -1041722293, -1291606990, -1412018394, -153504305, -1227084469, -250862272, -117958483, 1204226327, -142611552, -1398283810],[2092708280, 1481609790, 1639060164, 1999355097, -116812515, -1764218666, 35587829, -1161864731, 153038316, 65674629, 1599137849],[489547083, -230418334, 1883862815, 1066177980, 1067492865, 1895568184, -1820756588, 564020967, 658363136, -1633684191, -1415167849]]"
values_70,2,"[[892403969, 1290869995],[-1640369806, 864828957]]","[[2085882922, -109032038],[-59057356, 2087776201]]"
values_23,3,"[[1224109950, 833175974, -1737404783],[-1158221842, 1653717919, 2056750616],[2028734224, -71637990, -1350584047]]","[[-1477347160, 1744305701, -1104670474],[367311352, -778522507, -1421384835],[-1408260512, 107365030, -2002681648]]"
values_72,5,"[[1744745082, 1059138930, -956989968, -705171829, -1156779231],[96459347, 1864758421, -837462477, 1825978412, 2058570516],[-742023952, -1611709566, -1757806030, 281144658, -36973514],[-1811666673, 491544086, 790883774, 232334243, -780129998],[-789816720, -429878397, 496096089, -166928395, 2089187855]]","[[1346533434, 512998007, -1879740776, 93286123, -1364237874],[1290148658, 631877641, 1927617200, 1814995884, -572239503],[-571930873, 771455248, 285556753, -174384753, -740194036],[-1954080042, -124458957, 1984864818, -1598104623, -270589136],[-1754211986, -504613591, 1968974849, 1552871710, -922397941]]"
