inputName,nn,size,isign,data[size]
values_11,4,31,1,"{6149305441406374358, -1750426011564645151, -6349435110792285166, -6081310443905109177, 2979001876946109773, 7859523970050742420, -7112814969439717859, 7009437322479554370, 4309865331040235745, -8225022921651076105, -7315092823195394647, 4873000252299019121, -8959540155114499057, 580732831251878717, 2573789931540569043, 1349292740545823479, 2435926422173457211, -5424319364420651093, -577830593055190035, 5139467515893958235, -363725558102696579, 4347623712011616199, 6293486842312307215, -4957020067227380621, 6349162034672080663, -301614650972292167, -8995415085462708980, 344847950162505203, 6884602085249032037, 5219165309877183674, 6317103940100563320"
values_19,4,29,1,"{-7465416374080450403, -1180396274507335157, -4443436436255540828, -430060150109709140, 296185585105216095, -5257981442463649822, -8644645889363436169, 7556520465200338390, 4994701272135685062, -8835341485756516850, 5652782067902234583, -1054191274016279507, -7920215005400173351, -2576178758824893075, -7264038124250127612, 8578617258554912688, 8625193092521665808, -7594735712816191069, 3703795178127462635, 2068763764183447193, 1237209026958838595, 2132672703670158785, 1017300659415283248, 6013206110763691755, -1903747381554458848, -8883614710479888638, -3196406733459037034, 4566262467444531063, 2108979670058697013"
values_12,4,31,1,"{-5580136424615111832, 5852343015578686702, -6629356460634029612, 2325148397086513870, -2723045822300915202, -374865065827929932, -5168644729414440538, -5889786247932645878, 293932658345316272, 8963769907377737566, -3403792505951626048, -7878015436621699954, -3700368109130275692, -3006697625109067210, 2772966047077352336, -8955794402443727654, -3163545603343944476, 4978233315233583842, -4986959015647398608, -6327200506082188371, 553532995771093316, 8353510656990934775, -4239869168086683670, -9004479102614954802, -3705633432722413887, 3017493120780929138, 9192573031970282092, 2168043722971038517, 9100833541200986150, -7583665747262897309, 843331122093498672"
values_38,3,20,1,"{-3648798378012408303, 6843327072747635436, 3889100248205805817, -2358746910530073547, 8040349687460454004, -8355993819657615814, -3302755450563196473, -3180496288048478505, 8129826078983774339, 5365065033239075000, 1002149779511599789, -6149115493853866635, 3299937386356693187, 8947867907568418573, 4398696333960455301, 3613706459313360830, -8157441980035777362, 4893485841314264660, 5334065199401745947, 9138871483632184399"
values_81,2,31,1,"{7128574779347765589, 709268875157617284, -6474413144709627016, -2366644276823689862, 6981474100378717614, 702243147614657279, 2646831595092694640, 3630894069780822169, -4102226965911523556, -7311595101397821393, -4929106458527943555, 7300296582375593014, -4592784858090599822, 6906264369340066854, 8083617411554828550, 7245304664575843022, -2153627300903790460, -3553630087291941877, -7705620015780716715, -6535833698713226675, -3761215191736038746, 730982387005729947, 7819424142890871165, 5060253282469106603, 6006013352590534996, 3486770806409001052, -7744864310085538408, -4069413998976399386, -7926579469999674178, 5897830095450952821, 2457614559507742375"
values_5,2,29,1,"{-8124938709187643619, 2179245167427958802, 4491369565728707572, 4003367906974860388, -6927997124184097542, 5398628337867785854, 6499355696905794735, 7266050724942233552, -1765853164833421383, 1743562632812205136, 8979059048351685294, 6110589200519749724, 7730459088256352627, -183294694608145138, -3494835807725170085, -3449739295429747046, 2646839545522297730, 5821457933902265701, 6099191719357410534, -5971173219014199376, 849621574738126458, 2852644255902172213, -6714724161001759536, -3709791904370939218, -5593374970592895968, 7963735685968923466, 5103122030137528733, -1549611366182088674, -1646096856144980272"
values_40,2,18,1,"{-4919464237794630183, -4059317656516331813, 6129993688093303388, 533869588170125703, -4849305310953038119, -314052798807526091, 254067472774071668, -5177978872181152937, -8802560320851372559, -5772582117603439872, 3584689914479446825, -4794360266305599868, -5874801440560698509, 6947415183274888977, -2145597126768172212, -9115718257138459977, 1055266170741108078, 2449886806781646030"
values_70,3,18,1,"{-8933509892565227651, 6671205999548635338, 6659967798570605926, 933994794269069617, 1145993382775269803, 4185403840565164149, -2260326499350680310, 77046937950506963, 4358210938192574714, -8127031544474898560, 6297150523147010163, 7761333785510440241, -8911543702088079578, 1734890706631390785, -5109222212891216369, 951027901513475682, -1723136170472134132, 5904988100849990721"
values_23,2,6,1,"{-7844116738277617802, 6029404651404565252, 4947224687615078280, 5157971516906554300, -2223445168180852388, -6700317087552281956"
values_72,3,31,1,"{-3397987390487034040, -1266672525984646823, -5087075632136906297, 7483718969072957028, 4725379424590348876, 2032148076193616160, -280561141534341967, 6610023502724485813, -6714015336888144571, -7923375555866829026, 2830604049811507247, -3728654100246886180, 7064053176055930685, -5592649730160878176, -4742511022285336664, 5844844316009975071, 1122802618821292343, -538957734333154966, -1214165714595038707, 6284814635696221300, 6237460346510915300, -344296075421180077, 2987066811710738540, -2769645687343566199, -6558649835195121035, 6949504234491905465, -4066060075161868452, 7108500227503333672, 294554378577886456, 6242489079984828870, 7608684188098715505"
values_79,3,29,1,"{-7005769711734206870, -2163539062592027267, 6911104524592845000, 2318845378947243447, -1830609667348704066, 9162790220518978466, 1781851422493568937, -7312960630821013524, 7175148675824227663, 1100774904338511010, -7574099866285830152, -277134604940759629, 7882507668327300562, 620476167075128308, -8413255183008231014, -6171208520347583879, 1636956755348955633, -8968655857438697566, -4064324431703637561, -4287140739334626210, 158406787326264255, -8133615565138560561, -4742116814306943175, -7926682463789834967, 1323736148838808689, 4769229291766076400, 1794767154865018172, -438610021957991713, -257569123054210833"
values_78,3,20,1,"{1146616131058284986, -8559985965592099038, -5925818277241999062, 7034513177218791440, 3881864161537827147, -6232722733177479035, -1511707462020095723, -2824728016236609246, -4507915477378969536, 5973731382393866628, -2978235514690690042, 8132153603315157344, -2741178734819922697, 7421003448632821218, 4270573576966130451, 2925114113649034028, 9147423444314510697, -3812309578031918818, -802332748662900411, -4892670225075675490"
values_87,2,27,1,"{4123583034973563993, 7685137667996926909, 7503277685964471747, -5580234131112367713, 6538675532388141869, 5065163318357235871, 3245141471542842943, 5829535171906122643, 4408940383877410745, -7547557848182274924, 2985059165873941112, -4494443566124575672, 166004791579388675, -6604292524573460531, -7937259506487458419, -8061746787098362637, -5679804426085499398, -1961603240165579638, 3913801663759055610, 7418638055876423600, 3045453717877953238, -6527849737876646569, -1632784628580521959, -2470596113121107967, -6298754092115396745, 309864030685534200, 8930898202228355390"
values_6,2,24,1,"{-2664038197327527784, -8180909700800438425, 3497881640892785453, -4335571658956087060, 1548373397059764650, 4401508871312138739, -6740843902663508418, -1399574131842486816, 8293702417239759120, 5285474231502087177, 5667483716420591058, 5405361125686483574, -6431959597752050539, 2925690737613857308, 4670837079145396721, -1502667926289340206, 1334682335644523637, -1686570521736334590, -5818756085340827706, -4756783808855112133, -6730387887393470596, 7296080018291427195, -1130281197896445253, -4985540755930672891"
values_68,3,20,1,"{1004449763739133867, -5160879350910325755, -2942625050525596906, 8951008423211387250, 8813372387990120689, 9026750581742304009, 3284786040151333075, -8479005726472792810, 8872788669078369684, 6151546251391984682, 2037833125823645347, -5336658184696643623, 7895653701264104217, 107347690794878554, 1891426525073151455, -1255569576291845321, -2081913420101087047, 4796974938517946752, -764134038365796024, -2776571223299276910"
values_69,3,29,1,"{8319482073210780110, 6473628211058817930, 5415466424983089591, -4041350263046058771, 8765764744980892894, 1614425177648180827, 2488916763499956502, -5710492365640314968, 3759256441520398731, -7249360747860480864, 1969983448348131174, 660737118287778183, 6899759243301569015, -6969255673107187543, 7531931709212587855, 9028902794083326039, 4511793822547384161, 4286891044071385581, 3841622896548469444, 8691485201430906694, 7434193281034793243, 1083211363766648120, -1480294229457323283, -37300631763837239, -3667685296210902708, -7416208086944574450, -2789724319581439254, 1986890986083631149, 3458169396667494433"
values_1,2,31,1,"{-7687444486203376436, -8380135258608860468, -7160255499039637242, -803152776445971651, -5440399350289733140, 1865644157575741600, 9199978180597671441, 5935174683912923233, -56337179825508069, 8919807884531940411, 1656348627218262180, 8788163538496014999, -2719093950774623075, -858703708939698865, -4379546371381865151, -110254154694394732, -683392280426952920, -4755835487872583955, -5669662292497183826, 2352655342899651823, -4349997719649772318, 2404072318358490765, 7145106840598434179, -5378379136202705710, -8286625077626952927, -1831632966248772601, -6640765220397194517, -1666937642657441003, 306997643133464493, -4135005267177826424, -6763624960109399604"
values_45,2,29,1,"{-3634082647121251292, -2861658476928440864, 4847411636236768463, 2450787387826906584, -6193040337034886237, 5761871726840907845, -4872085475351161063, -3257760967232751573, 3679327488558459856, -1904755967057640835, 4213764812544130526, -9090962119994122000, 791687557459496412, -7952936104288003151, 7448575733339223225, 5979303200912757197, -6542012516390635623, 7150955884709574195, -2348634018744379822, 1539433410248322501, -3508504224665108863, -2794204683348317598, 4488310085013068646, -2901010180031819040, -3391337718075554773, -3859784947901576442, -3917829338074575793, -6793560527055104652, 8820875769875291336"
values_33,3,6,1,"{-6504483648677567434, 1489577466218476462, 8136002842256079054, 6869631562969024903, -7973138077088142138, 6455414528981170440"
values_15,4,29,1,"{8868201364951343718, -9010445379285694812, -2466508757144960240, -1942069239899800694, 2450128040546988983, 4432825001626241157, 8774891857537458860, -7568685498103940248, -8404179443679708772, 7147105208990822241, -7763902312047858791, 6823382436127136007, -9087497312907913662, -1792574374389571899, 469984137176936222, -611966667103787147, 7150500098568443041, 2444291750670380831, 324356326235619665, -6670258737766709732, -6911022673210436575, 2481666863598058497, -1893152796522116872, -377626283256493422, 4617461539752737107, 8592815573506151128, 8012018396353397524, 4876509110267559995, -6510820896173469918"
values_93,2,6,1,"{-2102375327161430009, -6190900812661006495, -6188606467115609413, 4791437208614059710, -6937625490272171952, 7495724690338144312"
values_24,2,21,1,"{-8436140449755882844, 547176814069731817, 979439588837125694, -8421276384740146194, -7582213500144526597, -6536828414616992917, 5530742700064377319, -52288972304102308, 2852760852138567372, 2098039623294723832, -1031697840274183737, 8234319428506499408, -2874665515053401399, -8248620485397225006, -4972190919388264045, 2218151193982350275, 5386496638870807828, 656743695658462272, 5547267404805087791, 2766574273517182246, -268306242246562547"
values_25,2,29,1,"{6966330734714940113, 6800408145226943926, -1821251642040829702, -5720850844413364318, -6454480231021487334, 1008655290833652092, -994872612393822832, 9195186083348181326, 8263606755232580873, -2858620107177978317, -7811287861103645373, -5232544857881298923, 4792362435746150838, -5445378455574131975, 1965019451939501776, 6769367118182352578, -8727650872665641843, -884880042114873149, -6746137640807115705, 8444929366872214519, -2505179787905645614, -8039323793473587644, 8138848400428991583, 4967464894325879097, -6105749833871098130, 3858098599373302783, -9190696841305460749, 6244856662183655897, 783494864687370630"
values_26,2,24,1,"{-8526910673135749489, 4383361181891825884, 6427220482496048077, -3398201121078018333, -8170781076063497766, -6362762673247555103, -4386230322719883543, -2220357286415297170, 6716432270447535914, 1560298606770997676, 5457274532316299576, -5202364312243946633, 1840803827870552745, 3308602874951912647, 4552614309427080028, -255928730364333078, 2875512067377938173, 2844722811873837115, -1003509823123584173, -7549372333059402125, -8464419610273830560, -2248853219554110588, 8522169083765203926, 4698321328596639016"
values_48,2,20,1,"{6404713993161889101, -8093682071258227149, -2503948509164800601, 4040285777292314561, 2359213786174543842, -6967661608832556575, -4479380063529247360, 2424728923693565178, 5996620411255845074, 7815570382522766345, -6023451234693224814, -3316946574028733895, -7397435522847551768, -4576763650161347791, 2478141536422368427, 3986079536416575292, -275502142683372585, -2801346733200810363, -4699941002049502350, 5288393788440241535"
