inputName,idum
values_11,103
values_19,47
values_12,26
values_38,-6
values_81,-11
values_5,-65
values_40,-50
values_70,-85
values_23,-27
values_72,-38
values_79,6
values_78,-39
values_87,-61
values_6,-126
values_68,-85
values_69,112
values_1,32
values_45,13
values_33,106
values_15,-21
values_93,15
values_24,-97
values_25,-14
values_26,68
values_48,113
values_71,77
values_76,-16
values_7,100
values_50,-20
values_22,-54
values_4,74
values_32,-113
values_77,-69
values_91,-57
values_42,86
values_13,41
values_41,110
values_55,-112
values_31,11
values_66,-16
values_65,95
values_62,91
values_21,-79
values_95,-36
values_84,-16
values_58,114
values_64,110
values_83,-78
values_94,65
values_0,40
values_99,-57
values_96,-128
values_67,-52
values_61,-36
values_43,39
values_2,114
values_54,55
values_30,74
values_59,-60
values_85,107
values_74,-53
values_90,11
values_18,-67
values_52,-13
values_44,-125
values_17,11
values_36,79
values_49,88
values_86,-22
values_37,-107
values_56,-35
values_63,66
values_35,66
values_97,80
values_75,-123
values_57,-32
values_88,-110
values_10,-46
values_53,40
values_8,55
values_39,-17
values_47,-77
values_60,-66
values_89,-98
values_51,-65
values_14,71
values_28,98
values_16,-1
values_34,67
values_82,-12
values_46,-23
values_27,-102
values_20,-79
values_9,-102
values_92,45
values_3,-82
values_98,-119
values_29,-83
values_80,-59
values_73,-81
