inputName,k
11,156
19,156
12,156
38,107
81,7
5,83
40,151
70,171
23,138
72,171
79,171
78,171
87,7
6,83
68,192
69,192
1,83
45,151
33,107
15,156
93,30
24,138
25,138
26,138
48,151
71,171
76,171
7,83
50,232
22,138
4,83
32,107
77,171
91,30
42,151
13,156
41,151
55,232
31,107
66,192
65,192
62,192
21,138
95,30
84,7
58,232
64,192
83,7
94,30
0,83
99,30
96,30
67,192
61,192
43,151
2,83
54,232
30,107
59,232
85,7
74,171
90,30
18,156
52,232
44,151
17,156
36,107
49,151
86,7
37,107
56,232
63,192
35,107
97,30
75,171
57,232
88,7
10,156
53,232
8,83
39,107
47,151
60,192
89,7
51,232
14,156
28,138
16,156
34,107
82,7
46,151
27,138
20,138
9,83
92,30
3,83
98,30
29,138
80,7
73,171
