inputName,k,size,arr[size]
values_11,129,11,"{-4456, 11645, -2964, 2997, 28749, -29015, -15488, 14099, 1701, 31653, 11707"
values_19,129,17,"{-17112, -26532, 12139, -27332, -28883, 16128, -2498, -14368, -27863, 9302, -30179, -7727, -14402, -19458, 31378, -21512, 15751"
values_12,129,25,"{14796, -31524, -1677, -15312, 1909, -4683, 18337, -7415, 8688, 30369, 13796, -17354, 623, -2175, -8740, -21592, 14577, 2516, -24776, -3947, 3318, 25340, 5926, 16830, -23660"
values_38,254,14,"{-15277, -12226, -30502, -15535, -19548, 16582, 16039, 19555, -25400, 17266, 16952, -12248, -24099, 9074"
values_81,148,11,"{-29274, -24760, -10158, -5606, 158, 26804, -4467, -27370, -27787, -17810, 27289"
values_5,59,9,"{30038, -13598, 3244, -2395, -13321, 25866, -14921, -24146, -23092"
values_40,249,21,"{13204, -8060, -3182, 24745, -11306, 30677, 2751, -3830, 1881, 479, 22676, -16425, 695, 19846, 3189, 17950, -14235, 30248, -10185, 19105, 27871"
values_70,25,21,"{-12921, -15974, 26699, 3355, -1445, -15957, 26489, 29496, 9385, 22600, -27222, -9840, 31929, 25758, 21209, -4675, 15286, -16006, 15841, -5590, -32555"
values_23,234,18,"{263, 18136, -9132, 8940, 15732, 28104, 16340, -30036, 8082, -25688, -29182, 29111, -22193, -9522, -28495, -27850, 13750, 14777"
values_72,25,25,"{11974, -10873, 14240, 27771, -18268, 2144, -17717, -1890, -11782, 29408, 16944, 31163, -24993, 29251, 29293, -29190, -3473, 23749, 14523, -28221, -9617, -10735, -27957, -26842, -16946"
values_79,25,17,"{-14726, -18549, -10986, 18672, 22022, -8085, -20559, 24437, -32116, -2949, 4489, -28293, -18697, 10479, -427, 7736, 21793"
values_78,25,14,"{-6448, 26924, 13011, 20787, 1937, -30822, -12645, -5020, -9710, -16435, 27623, -17910, -17209, 31641"
values_87,148,30,"{-24529, -2457, 20173, 28940, 24750, -18430, -9436, 13444, -28425, -30929, -24754, -16057, 29035, -11380, 1443, -22088, -11879, 14740, -11487, 3585, -8311, 22001, -15745, 3987, 623, -28580, -21281, -15553, 16583, 32160"
values_6,59,6,"{16433, 22678, -3945, -6812, -12449, 12188"
values_68,197,14,"{-25772, 27158, 4254, -7208, 14047, -2987, 23733, -31198, -31325, -12803, 32234, -229, -28535, -25183"
values_69,197,17,"{-32204, 30770, 2388, -15138, 1469, 28515, -30962, 23301, 1071, -22898, -21551, -31352, -12238, 16177, 21075, 5565, -29385"
values_1,59,11,"{-27968, 14692, -21064, 18967, -2202, 3031, -12590, 21277, 1884, -27235, -28747"
values_45,249,9,"{-17500, 14159, -19600, -21693, -10354, 29664, 14316, -6515, -28943"
values_33,254,18,"{-26720, 17088, -16458, -23686, -23628, -13105, 21895, -14862, -18376, 22064, 3674, 15571, 12798, 31259, 12230, -1137, -18196, -30640"
values_15,129,9,"{9865, -6024, 17398, 28053, -31521, -7052, -32383, -21677, -10561"
values_93,220,18,"{18589, -12053, 22066, -14618, -188, -2342, -25981, 17296, -12705, -30994, 29246, -13978, 8287, -27503, -9219, 28852, -20002, -25015"
values_24,234,21,"{-9043, 30294, 14881, 25727, -1750, -2921, 11645, 6982, -12826, -16103, -10964, 4632, 4024, 13656, -28632, -2316, -23174, -27774, -25841, 946, 4133"
