inputName,idum
11,-42
19,-87
12,8
38,-7
81,-97
5,9
40,94
70,-98
23,-108
72,120
79,-9
78,-123
87,-104
6,116
68,116
69,-53
1,-124
45,79
33,-109
15,75
93,-53
24,-82
25,-49
26,-74
48,33
71,-77
76,40
7,39
50,-45
22,38
4,-11
32,91
77,-79
91,-41
42,-13
13,-64
41,83
55,-124
31,123
66,67
65,-111
62,-46
21,89
95,-73
84,3
58,97
64,-24
83,-84
94,-62
0,4
99,24
96,-22
67,26
61,-120
43,64
2,72
54,89
30,47
59,-99
85,-63
74,-51
90,-17
18,76
52,-2
44,14
17,-73
36,-87
49,-53
86,85
37,-99
56,-110
63,-56
35,66
97,55
75,-120
57,33
88,21
10,-35
53,103
8,13
39,-68
47,18
60,-97
89,-67
51,-9
14,34
28,-109
16,28
34,-115
82,46
46,-64
27,92
20,-6
9,105
92,-54
3,41
98,-97
29,-55
80,-39
73,116
