inputName,val
values_11,22
values_19,80
values_12,88
values_38,24
values_81,122
values_5,117
values_40,122
values_70,100
values_23,77
values_72,100
values_79,108
values_78,65
values_87,78
values_6,104
values_68,26
values_69,18
values_1,69
values_45,43
values_33,5
values_15,112
values_93,57
values_24,41
values_25,18
values_26,14
values_48,88
values_71,94
values_76,106
values_7,111
values_50,120
values_22,58
values_4,103
values_32,125
values_77,49
values_91,37
values_42,106
values_13,31
values_41,91
values_55,77
values_31,67
values_66,56
values_65,82
values_62,101
values_21,40
values_95,56
values_84,66
values_58,49
values_64,49
values_83,20
values_94,13
values_0,92
values_99,124
values_96,11
values_67,74
values_61,103
values_43,84
values_2,46
values_54,29
values_30,119
values_59,45
values_85,43
values_74,21
values_90,125
values_18,38
values_52,6
values_44,66
values_17,42
values_36,105
values_49,51
values_86,99
values_37,58
values_56,123
values_63,108
values_35,65
values_97,67
values_75,37
values_57,91
values_88,9
values_10,95
values_53,30
values_8,16
values_39,7
values_47,64
values_60,114
values_89,81
values_51,111
values_14,24
values_28,90
values_16,28
values_34,114
values_82,5
values_46,11
values_27,51
values_20,21
values_9,113
values_92,120
values_3,46
values_98,51
values_29,117
values_80,7
values_73,73
