inputName,n
values_11,32
values_19,31
values_12,21
values_38,30
values_81,30
values_5,20
values_40,18
values_70,9
values_23,10
values_72,32
values_79,18
values_78,5
values_87,30
values_6,28
values_68,10
values_69,24
values_1,4
values_45,16
values_33,7
values_15,9
values_93,23
values_24,25
values_25,16
values_26,32
values_48,32
values_71,22
values_76,31
values_7,22
values_50,22
values_22,25
values_4,18
values_32,2
values_77,26
values_91,12
values_42,4
values_13,3
values_41,14
values_55,28
values_31,21
values_66,24
values_65,19
values_62,18
values_21,29
values_95,32
values_84,2
values_58,28
values_64,17
values_83,4
values_94,32
values_0,22
values_99,26
values_96,10
values_67,22
values_61,9
values_43,10
values_2,27
values_54,4
values_30,8
values_59,26
values_85,32
values_74,20
values_90,8
values_18,24
values_52,16
values_44,22
values_17,15
values_36,22
values_49,9
values_86,5
values_37,32
values_56,21
values_63,2
values_35,15
values_97,14
values_75,11
values_57,15
values_88,24
values_10,7
values_53,22
values_8,14
values_39,16
values_47,26
values_60,25
values_89,22
values_51,32
values_14,18
values_28,4
values_16,2
values_34,5
values_82,22
values_46,22
values_27,22
values_20,2
values_9,18
values_92,31
values_3,26
values_98,16
values_29,7
values_80,19
values_73,24
