inputName,nn,isign
11,4,0
19,4,0
12,4,0
38,7,0
81,8,0
5,7,0
40,1,0
70,7,0
23,8,0
72,7,0
79,7,0
78,7,0
87,8,0
6,7,0
68,5,0
69,5,0
1,7,0
45,1,0
33,7,0
15,4,0
93,2,0
24,8,0
25,8,0
26,8,0
48,1,0
71,7,0
76,7,0
7,7,0
50,6,0
22,8,0
4,7,0
32,7,0
77,7,0
91,2,0
42,1,0
13,4,0
41,1,0
55,6,0
31,7,0
66,5,0
65,5,0
62,5,0
21,8,0
95,2,0
84,8,0
58,6,0
64,5,0
83,8,0
94,2,0
0,7,0
99,2,0
96,2,0
67,5,0
61,5,0
43,1,0
2,7,0
54,6,0
30,7,0
59,6,0
85,8,0
74,7,0
90,2,0
18,4,0
52,6,0
44,1,0
17,4,0
36,7,0
49,1,0
86,8,0
37,7,0
56,6,0
63,5,0
35,7,0
97,2,0
75,7,0
57,6,0
88,8,0
10,4,0
53,6,0
8,7,0
39,7,0
47,1,0
60,5,0
89,8,0
51,6,0
14,4,0
28,8,0
16,4,0
34,7,0
82,8,0
46,1,0
27,8,0
20,8,0
9,7,0
92,2,0
3,7,0
98,2,0
29,8,0
80,8,0
73,7,0
