inputName,n
11,11201
19,11617
12,14121
38,3324
81,626
5,7186
40,18546
70,6188
23,1481
72,16074
79,23838
78,26585
87,18461
6,20022
68,23409
69,31452
1,7643
45,2452
33,9614
15,4045
93,18688
24,12483
25,10520
26,16103
48,12876
71,11844
76,16446
7,18155
50,29285
22,6270
4,28281
32,28589
77,22037
91,3433
42,1322
13,28953
41,7254
55,25523
31,23908
66,13474
65,26562
62,8301
21,6660
95,13466
84,10781
58,29751
64,3143
83,10580
94,16790
0,32036
99,21004
96,6144
67,25990
61,27820
43,29672
2,6711
54,5607
30,30380
59,14944
85,872
74,29170
90,15556
18,9008
52,16641
44,31637
17,8672
36,23566
49,18401
86,18709
37,29119
56,18120
63,14899
35,10761
97,19689
75,19120
57,23988
88,22697
10,19266
53,20723
8,17769
39,14184
47,31784
60,6773
89,32075
51,7966
14,10567
28,8659
16,16937
34,19136
82,18399
46,3409
27,32374
20,24632
9,20961
92,8118
3,14423
98,15132
29,27963
80,22758
73,8100
