inputName,k,size,arr[size]
values_11,225,8,"{-282256608598616593, -1888314892083408977, 1391599471158375322, -2446968517395365735, 6329725968898651994, 6003587785753100769, 2062760094951164901, -999986483841405459"
values_19,225,15,"{-3471937914446361602, 6948208061574651407, 4363750417025117208, -8430006553692654561, -976831647106153300, -5104377753288346624, 6504316471396072764, 3561665935139453032, 1558124510972514011, 8850401361750798024, 2779799115910213197, 6208478791103863358, -8347912516990322418, 8958461818806765281, 7750989361543434980"
values_12,225,29,"{-1272064773769161629, -886188429339373673, -6653029072639089673, 4055299598694038213, 6670910787466999989, 7576377547049526431, -6308571314577435114, -6534027731814163525, -2400768865081153452, -2341927902258816308, 283059224570605122, 7900047480276229094, 904212946125083966, -8801669373602392077, 4275582695835138366, -8897084247623577256, -4418339071719900671, 2659814706788121405, 5960845578349373695, -642186785256035819, -320822729815955464, 6246743495172249968, 5155097835037520819, 2304544696825796828, -3598210038110014076, 5059879889396698862, 4840629677607025144, 6950879548144781807, -7033454707450615220"
values_38,206,28,"{2101951728746316871, 4668606178463261728, -4206813801404959036, 5728831385723755662, -4648845182476003724, 3354246921967120552, -7296925773523950877, 6269891742878879078, 3765526470015044658, -4502042857593455979, 596961155129897382, -4724067021029765911, 4946291725571548216, 6136521576090319439, -56078574069709298, 4534449462521050615, 8799217100837256892, 723495946004314482, -5227625399212046673, 178565416593660926, 7905267077495233537, 8745497390401662400, -2473043106097046092, 2553443745582831422, 1722736613201959850, 909597778635461238, 3398558747884466573, 1687890162586735853"
values_81,155,8,"{-8781526798515324302, 4342239629183263877, -2620010384289849493, 6379101524316338743, -4592107466321500771, -2107191824132966047, 3108713785909228895, -1474256940392014723"
values_5,41,2,"{8883948619624757008, -6783832909249167986"
values_40,40,25,"{3222368825018010859, 6902012463482634472, -6499018603240013780, 5121687740331091749, 2564971114595153922, 4872120925759023979, -6472448833083003202, -317647406301558991, 8895663987661148481, 4018662459867540326, 7600283477984908540, 8081913690185716635, 3297708473596565931, -7971677902766716869, 2542052248631319485, -3079451292601118901, -2792698525603736679, 4393578927328524239, 2524797183006941385, 977509143140019602, -1492975849136068750, 5540643338639938622, -8512085280077124636, -5227710863149425666, 3948659122554328829"
values_70,110,25,"{6731886871017092602, -7533555330023334955, -3893472678387981598, -4634946473548977446, -4617795717503291763, 4579913439383870958, 2350422259844820869, -5429444524697529407, -5713277215126938552, 3672893728953022167, -6819796875072942468, -7052281248949057381, 4932725529617358729, 7057456099613631825, -3790226307919819907, 8635923772528968507, -8993126637070172547, -3729794956883751390, 815717718884675493, -2791532067342172815, 7801589447408003059, -8135347159570612086, -2987230704412669234, 8659755348234330926, 590269116284745327"
values_23,183,30,"{-3589281477146614563, 8427022156521951176, -4774679474547248367, -2503409077662253159, 6848625242263876308, 6701768807195427327, 9187188092315366830, 1495024332923552903, 8962230229601476873, 1659669422881043428, -5002344779739155444, -364065599296090642, 5682061256086049427, 845452111243261311, -6980393026527311940, 4402785527671891937, 8529357848560632752, 3402468493403508, 5181202262914861831, -4503850811355672319, -821698373423381953, 2144918937633110012, 2188113173011814885, -2032590895337707061, 5988326605276499718, 1501610095888850142, -557924934309223283, 4571397658239598938, 7544765974742351019, -4602006814792732443"
values_72,110,29,"{1329339543795756019, -1226074325040433421, -8632590406610476151, -3666618518144242361, 4660783912699114817, -7273992630857595013, -6265425536904047807, 7748927825947405331, 5414558150684790281, 8739251506012184138, -1542999924792234721, 192660244952005814, 5398688342165175037, 7198503037956761639, -137142076442875559, -5729299810194885306, 2730997017959807110, 1773497119148267801, -1216384843264942535, 4347555431473008568, 8537724322830250744, -2816521208529427904, -5427012025790945098, -3426224874660838558, 7912635667083259644, 5660534869194171073, -4373427638456690630, 6087306811066485870, 6520474042381922990"
values_79,110,15,"{-3667823631432259191, 6352174798532489366, -7194430726400986704, 2054679107793241438, -597948433829946178, 7183237000340459005, 8065301819435880098, -4129899417065938134, -3282834200691692153, 3249036244509295249, 6389302400646376826, 4183365446137615597, 6187630877168939755, -2942697744692083092, -1876621275021905808"
values_78,110,28,"{-364180487975733116, 4517830420341074176, 2511456933452772398, 3620108113442742792, 7309440390510851210, -2047987429824122972, 1760279313965684155, -8842509267544081017, -1024578199560189971, -8024375781584040851, 7926385135991267754, 9051629411575684033, 4759618325350651619, 122446181794586140, 1046957428989336091, 3288745743845074723, -6149925477596525680, 1679387387492928970, -2984060397154860228, 1172399957187410340, -5308219104826561815, 7470193657442630071, 6398186108876906473, -3816793914588042954, -4686775753706921713, 3145026578057078056, 353621947653421629, 7788375044988977333"
values_87,155,20,"{-8077995184981937657, -931268631264246320, 7580792423353815778, -3900583428348958349, 7357975129615361640, 135563188540521063, -8352640600791448373, -8800189910235694008, 1679097853499902637, 7926005531470907747, 9220366060850196096, -7657502871828326675, 5204156656935520673, 4080582385592570514, -6345224781819725883, 2703439761629184634, -779519068508323469, 6677468300459110982, -7211967800601542165, -3196700278709511307"
values_6,41,28,"{-8466954531289209443, 5294666303366755946, 2011379640611330849, -1171943176923662781, -2080230348285392839, -1268521334521480958, -6779312980399716807, 6236960559576911851, 4715036834866855363, 1762601927353905399, -6583469086936794192, -2562202431413922312, 74130515100542959, 6126340356987355480, -2452760722701963266, 8036923537100657043, 7536373019071467944, 4337867170994726931, 4529285090082757918, 9083538938234325707, -3097693137349539332, 5744214165961359709, 4137192409599045122, 2503968028979061683, 5325572528098874682, -1813332804710131411, -5931880482478564209, 6416145897329271426"
