inputName,nn,isign
11,2,-1
19,2,-1
12,2,-1
38,1,-1
81,4,-1
5,2,-1
40,4,-1
70,1,-1
23,1,-1
72,1,-1
79,1,-1
78,1,-1
87,4,-1
6,2,-1
68,1,-1
69,1,-1
1,2,-1
45,4,-1
33,1,-1
15,2,-1
93,3,-1
24,1,-1
25,1,-1
26,1,-1
48,4,-1
71,1,-1
76,1,-1
7,2,-1
50,2,-1
22,1,-1
4,2,-1
32,1,-1
77,1,-1
91,3,-1
42,4,-1
13,2,-1
41,4,-1
55,2,-1
31,1,-1
66,1,-1
65,1,-1
62,1,-1
21,1,-1
95,3,-1
84,4,-1
58,2,-1
64,1,-1
83,4,-1
94,3,-1
0,2,-1
99,3,-1
96,3,-1
67,1,-1
61,1,-1
43,4,-1
2,2,-1
54,2,-1
30,1,-1
59,2,-1
85,4,-1
74,1,-1
90,3,-1
18,2,-1
52,2,-1
44,4,-1
17,2,-1
36,1,-1
49,4,-1
86,4,-1
37,1,-1
56,2,-1
63,1,-1
35,1,-1
97,3,-1
75,1,-1
57,2,-1
88,4,-1
10,2,-1
53,2,-1
8,2,-1
39,1,-1
47,4,-1
60,1,-1
89,4,-1
51,2,-1
14,2,-1
28,1,-1
16,2,-1
34,1,-1
82,4,-1
46,4,-1
27,1,-1
20,1,-1
9,2,-1
92,3,-1
3,2,-1
98,3,-1
29,1,-1
80,4,-1
73,1,-1
