inputName,idum
11,14845
19,389
12,-23440
38,-14285
81,-32643
5,6771
40,25337
70,23710
23,3340
72,-1287
79,-6302
78,31592
87,27789
6,-16423
68,-28315
69,-2486
1,26879
45,5515
33,-29510
15,-21056
93,18759
24,-7820
25,-21186
26,-5687
48,-14598
71,-20834
76,-2221
7,766
50,32321
22,10678
4,23259
32,26781
77,3098
91,-17147
42,4076
13,-13526
41,-23875
55,-27219
31,20635
66,16666
65,-30908
62,-31610
21,6663
95,-27374
84,16693
58,-15283
64,20958
83,-22531
94,11912
0,9620
99,14213
96,6835
67,-622
61,6395
43,386
2,28800
54,-12396
30,-4828
59,-29745
85,-8117
74,25926
90,6296
18,-26809
52,-13887
44,12564
17,-13862
36,747
49,11256
86,-27922
37,-27413
56,25544
63,-3739
35,-4953
97,-3978
75,-19296
57,-11129
88,-24493
10,8358
53,-30417
8,-3560
39,-24878
47,-28538
60,10543
89,-4345
51,24711
14,15958
28,-32150
16,14411
34,-25213
82,-16015
46,23565
27,-23215
20,19564
9,28509
92,4245
3,-1775
98,-3902
29,-15377
80,9784
73,-20716
