inputName,idum
11,1868048714
19,-1235611912
12,2032249562
38,-1801854613
81,-1290087248
5,1201555758
40,719919466
70,-249252221
23,349599891
72,1471499587
79,1916063332
78,942878102
87,1341683693
6,-1511261564
68,33679368
69,-415014799
1,432411771
45,1584332035
33,334102822
15,1398888652
93,-1254177114
24,1182156114
25,-565231122
26,225207851
48,-1217351821
71,-502167638
76,-168714367
7,1377795411
50,-1584118854
22,1918892108
4,-1092537483
32,-1877497190
77,350392055
91,-302563811
42,-1281292965
13,594378109
41,-1776892313
55,-983624520
31,1520395783
66,1338445693
65,1801943466
62,802787274
21,-685139675
95,30883402
84,359295310
58,357044537
64,1292487713
83,1243009144
94,-250212969
0,1234365618
99,1583067521
96,1330636263
67,2086645807
61,-601491859
43,-1249287657
2,1298140264
54,1028548330
30,900131030
59,1286594061
85,-182328919
74,-142516391
90,-1276711651
18,-973167821
52,-545032451
44,-177500006
17,1379831157
36,1448328702
49,1519479210
86,1551131951
37,372119579
56,1142632972
63,-1347137997
35,-1158543174
97,-632997421
75,99889088
57,760766628
88,-480831789
10,-337639280
53,2136014652
8,1417384789
39,1544402672
47,1965615557
60,2054909122
89,1263182584
51,1687982707
14,-736121968
28,-212855557
16,-93942016
34,1071127836
82,-1296369848
46,-2136101232
27,511830184
20,341135400
9,945537325
92,38811194
3,-1236134801
98,1844754107
29,414102190
80,1140170358
73,-391950677
