inputName,k
11,72
19,72
12,72
38,109
81,29
5,72
40,242
70,73
23,168
72,73
79,73
78,73
87,29
6,72
68,114
69,114
1,72
45,242
33,109
15,72
93,50
24,168
25,168
26,168
48,242
71,73
76,73
7,72
50,51
22,168
4,72
32,109
77,73
91,50
42,242
13,72
41,242
55,51
31,109
66,114
65,114
62,114
21,168
95,50
84,29
58,51
64,114
83,29
94,50
0,72
99,50
96,50
67,114
61,114
43,242
2,72
54,51
30,109
59,51
85,29
74,73
90,50
18,72
52,51
44,242
17,72
36,109
49,242
86,29
37,109
56,51
63,114
35,109
97,50
75,73
57,51
88,29
10,72
53,51
8,72
39,109
47,242
60,114
89,29
51,51
14,72
28,168
16,72
34,109
82,29
46,242
27,168
20,168
9,72
92,50
3,72
98,50
29,168
80,29
73,73
