inputName,size,arr[size]
values_11,7,"{1890478958, -44509800, -1936749930, -1609441528, -610400436, 466148504, -1691298389"
values_19,26,"{858232838, 704279306, -1797091350, 2131321985, -81137073, -39165244, 1870653598, -203517194, -1310002468, -325180685, -1747319856, -697793305, 1246001068, 1634659652, -203070307, 1547165798, -844636671, -442855952, 1649333474, 1922905472, 1466749923, 1859070558, -1204008406, -1766608763, 1112329472, -715995303"
values_12,28,"{218909369, 1769321696, -1823586967, 60501768, -162545171, 945374338, -497448842, 436193965, 590862308, -1532468459, 153653648, -1040537628, 187355578, -161932235, 1734160503, -1237556009, 1741828577, -1494527495, -480371696, 490311472, 1593853964, -2081686891, 582489580, 1769575218, 814284350, -1368255327, -1042312485, 961337189"
values_38,17,"{-1363164314, 503318119, -634561988, -390249337, 1204993816, -1773402517, 784131222, 1141599087, 439726676, 1760407839, 232780095, -497852952, -1406022601, 806136710, 1843767648, 471597150, -1058900610"
values_81,26,"{-1528098135, 1821450032, 2041283293, -1443337105, 1409351030, -105506285, 1632417120, -890087849, 395603483, -309024165, -1326542743, -1819244469, 290056852, -1435711952, 109558718, -99402503, 1316122810, -1037693224, 2067332744, -1708772178, -790594993, -313301568, -76055319, 289931983, -1738861266, -801496614"
values_5,26,"{-595845505, 1230993224, -163040112, -2072240102, 175574331, 366738122, 1042029101, 911017801, 1307361692, 1517326542, -70362184, 1797686727, -713159206, -2002790575, 1771380095, -384410556, 335553112, 203181299, 597081213, 1056379421, -1667409220, 766621656, -766166305, -1000156238, 104598302, -190391332"
values_40,10,"{1479366662, -1211475148, 590885856, 630600740, -288667490, 783389685, 1055630538, -724665452, 326547546, -226358245"
values_70,32,"{786896191, -238440380, -468256713, -1843725031, 1662808927, -139656973, 302071204, -1936531345, -395418448, -496331599, -1735816848, -1372879919, 1388130695, 1578870340, -1170672677, 1457749909, 1838491811, 1143155953, 703939329, -1372811001, 660364587, 1302998539, 401100195, -959344430, 1176277726, -2019269121, 668332329, -2049249527, 236680866, 859421097, 156655186, -1570682864"
values_23,4,"{-1535603685, -164872925, -1652398907, 134863922"
values_72,9,"{217781510, -1189281961, 858597636, -1152637594, 342858324, -1633991453, 483335094, 1951710556, 1286966047"
values_79,9,"{490065912, 576927436, 301188767, -907393829, 1544170406, 1707885337, -1631872926, -1883645367, -288322480"
values_78,22,"{-1077306150, -461946928, -796893889, -37565920, 1548677709, 462371216, 693788432, 700679482, 494910944, 103681540, 102537548, -464640962, 1200150604, 2138828523, 1315921987, -151899797, -2065441804, 1027373478, 1422903410, -967587786, -1289971375, -943752852"
values_87,18,"{853096488, -1634325609, 1939965135, -1114225324, -1151111290, -1090775957, 1311339378, -2020189891, 149711029, -794325240, -422416183, 2025669633, 913452879, -254343878, -683339758, 1849543777, -1239253124, 1019782396"
values_6,25,"{1081514803, -437366322, -931526817, -1795895272, -336113637, 55239917, -1523076773, -314821184, 1671394150, -4266625, -679442311, 1548923080, 208377943, 1203534944, -280854204, 1330507542, -1178727995, -1022994634, -239528258, 1089563543, -1596796066, -1103197183, -1358293329, -1817900039, 1892347890"
values_68,27,"{-1681852952, 888233461, -421797732, -233267394, 632658680, 483682828, -638240420, -606845615, 1206806538, -1256676640, 375150005, -380642463, -2129271168, -1128185560, 151106497, -894759806, 1937048472, 2051189477, 1844964226, -1450499181, -2061582982, -1800965034, -416987807, 468888030, -902980218, -502554601, 618319167"
values_69,5,"{-1461895588, 1437861898, -1364608367, -1438039522, 459663529"
values_1,21,"{-1833686391, -572630880, -695549557, 1321642918, 1538958877, -861252626, 1514877932, -382175882, 1553189579, 132353172, -1427087065, -506904925, -1703549811, 1158184742, 777910602, 288218085, -1820101662, -542215674, 311644635, 981387057, 1640656569"
values_45,2,"{1765774373, 880960775"
values_33,24,"{1009503035, -523516562, -1437472757, -741197610, -662824912, -1551155860, 2103244200, 605646414, -1350584174, 2014049334, -173547996, 1505732728, -1466284509, 1381581679, -1365729297, 230156417, -1632302611, 630740604, 189407006, 1543322390, 665673865, 838726348, -1862105267, -2138915989"
values_15,20,"{-1600313092, -82279887, 2040613331, 1790930289, -71006054, -1232160880, 239825049, 311848610, -669494182, -1797533390, -1735673898, -1688957611, 1616752515, 2092452467, -1140537988, 2076437705, 2087308442, -1306729006, -342398924, -617148503"
values_93,5,"{-432215517, -989434173, -2100060943, 1857801350, 573579275"
