inputName,n
values_11,8
values_19,58
values_12,54
values_38,34
values_81,12
values_5,68
values_40,21
values_70,58
values_23,117
values_72,85
values_79,118
values_78,32
values_87,24
values_6,101
values_68,86
values_69,59
values_1,66
values_45,24
values_33,70
values_15,79
values_93,3
values_24,96
values_25,62
values_26,81
values_48,22
values_71,97
values_76,126
values_7,56
values_50,118
values_22,63
values_4,67
values_32,103
values_77,101
values_91,33
values_42,40
values_13,126
values_41,124
values_55,114
values_31,39
values_66,4
values_65,51
values_62,120
values_21,123
values_95,119
values_84,71
values_58,21
values_64,116
values_83,98
values_94,29
values_0,29
values_99,97
values_96,62
values_67,69
values_61,78
values_43,55
values_2,109
values_54,39
values_30,98
values_59,31
values_85,118
values_74,9
values_90,89
values_18,69
values_52,9
values_44,92
values_17,108
values_36,58
values_49,73
values_86,37
values_37,119
values_56,40
values_63,95
values_35,49
values_97,101
values_75,65
values_57,68
values_88,95
values_10,47
values_53,99
values_8,12
values_39,47
values_47,51
values_60,5
values_89,54
values_51,100
values_14,44
values_28,87
values_16,3
values_34,80
values_82,33
values_46,47
values_27,104
values_20,59
values_9,120
values_92,64
values_3,46
values_98,98
values_29,94
values_80,90
values_73,96
