inputName,val
11,4106982490708058578
19,4371388278072952252
12,7012046792571000268
38,6572856025068695187
81,2384274348279273078
5,3238590046080290603
40,6049854145416813026
70,2379880480272844938
23,9087198159581794684
72,9210048424678064227
79,2604211894613841474
78,624844950300272123
87,7660157336560496562
6,2143995152037797092
68,8154825143843321608
69,207396539759413630
1,3218018822762833813
45,8148041058692770861
33,9006654948017786468
15,3112692539719674394
93,8844057327072679057
24,942640157371764179
25,856284447417542014
26,8406769129754521012
48,4943447098265230881
71,1912894346871055345
76,4739096338418615181
7,4280808285832019927
50,924447255887080705
22,8721577156263422245
4,5284353488638750
32,6218500838727727089
77,4033835619491543599
91,2410268852835839165
42,4822315690808549359
13,1646646834668673490
41,8360987275975836287
55,7223917624947777383
31,6593332301361432365
66,6321459969742328303
65,1679108558185121310
62,7110228181261867183
21,5241556467719611539
95,995460217587222553
84,3182506110777941080
58,6808605625416096102
64,4299476274224742040
83,2743851855331113373
94,7205281795485329840
0,4750455746412916987
99,980448638463631015
96,6549992867305160874
67,3569807951336200033
61,5112377639783404439
43,2717386900604095461
2,8798088065358854974
54,6744492939601463790
30,591393713829494137
59,3748477930624767751
85,4000373906611138
74,2458237481377907074
90,3983043765441885476
18,1152905307085800849
52,4873390603113191499
44,1376725887522136282
17,6431514693085789719
36,2888818059233304093
49,8548055042150663418
86,5834072494557377516
37,5761907131535911402
56,3985699160222328053
63,2565982181590839443
35,96261545425774055
97,1989240183851454605
75,7504322924874238882
57,6431777309347060627
88,689854718147148357
10,5016311258827941189
53,6367215710766406330
8,432207441523050189
39,3451622145453151274
47,7075276385451600459
60,8834023431583758737
89,8507129610718853740
51,12061603957976645
14,5948641913153139366
28,7741737777550673298
16,5302720903652591793
34,5915381473386396924
82,6852432376569107878
46,559491237618204267
27,5316028720562713967
20,8893273673580250527
9,6086016958750331474
92,2581639132232871060
3,1433855834632205160
98,1739851101878558122
29,5226978728615356154
80,4796670499575105168
73,917411242203359099
