inputName,n
values_11,41
values_19,14
values_12,8
values_38,115
values_81,39
values_5,55
values_40,26
values_70,11
values_23,50
values_72,125
values_79,113
values_78,73
values_87,116
values_6,110
values_68,14
values_69,105
values_1,35
values_45,51
values_33,108
values_15,39
values_93,125
values_24,104
values_25,84
values_26,74
values_48,43
values_71,79
values_76,39
values_7,106
values_50,64
values_22,76
values_4,56
values_32,73
values_77,3
values_91,75
values_42,67
values_13,105
values_41,98
values_55,113
values_31,38
values_66,63
values_65,63
values_62,117
values_21,123
values_95,64
values_84,4
values_58,10
values_64,108
values_83,114
values_94,91
values_0,75
values_99,50
values_96,84
values_67,10
values_61,94
values_43,82
values_2,5
values_54,5
values_30,30
values_59,46
values_85,29
values_74,11
values_90,46
values_18,97
values_52,75
values_44,27
values_17,71
values_36,72
values_49,72
values_86,31
values_37,120
values_56,85
values_63,46
values_35,112
values_97,27
values_75,17
values_57,116
values_88,40
values_10,71
values_53,115
values_8,92
values_39,117
values_47,5
values_60,111
values_89,75
values_51,100
values_14,110
values_28,110
values_16,28
values_34,101
values_82,46
values_46,72
values_27,57
values_20,52
values_9,87
values_92,47
values_3,40
values_98,124
values_29,20
values_80,95
values_73,72
