inputName,n
11,20
19,15
12,23
38,12
81,32
5,25
40,28
70,12
23,7
72,22
79,4
78,20
87,26
6,19
68,26
69,3
1,29
45,9
33,26
15,23
93,13
24,30
25,24
26,3
48,7
71,31
76,21
7,6
50,20
22,32
4,17
32,8
77,24
91,29
42,14
13,27
41,32
55,12
31,12
66,11
65,8
62,9
21,12
95,18
84,11
58,8
64,2
83,23
94,27
0,30
99,15
96,9
67,24
61,23
43,15
2,17
54,6
30,23
59,7
85,13
74,21
90,20
18,4
52,5
44,22
17,7
36,18
49,8
86,32
37,32
56,21
63,30
35,29
97,21
75,5
57,5
88,22
10,25
53,24
8,19
39,9
47,25
60,3
89,27
51,6
14,12
28,8
16,27
34,29
82,11
46,21
27,23
20,14
9,16
92,29
3,31
98,18
29,20
80,17
73,13
