inputName,nn,size,isign,data[size]
values_11,4,10,0,"{-27887, 25610, -11615, -2509, 15776, -8585, -30278, 8785, -23632, 24843"
values_19,4,12,0,"{-30419, -22925, -7102, 17621, -32554, 15874, 11226, 696, -21238, -18126, -3537, -13768"
values_12,4,30,0,"{-11868, 31651, -29564, 6669, -7790, -10567, 3142, -10338, 17758, 9981, 20471, 24100, -24817, 26458, -31547, -20672, -8436, -4057, 9715, -20994, 8819, -2882, 16634, 11578, 31296, 28607, 31752, 11478, 25555, -28175"
values_38,7,15,0,"{-26778, -24129, -16955, 15859, -1548, -14388, 25131, 4306, -13218, 13517, 6491, 20199, 3981, 19615, -11565"
values_81,8,10,0,"{-4603, -21000, 10437, -29450, 28379, -7828, -21813, 26037, 5077, -26438"
values_5,7,7,0,"{12373, 14950, -4254, -8794, -8464, -17014, 27795"
values_40,1,5,0,"{-14294, -13193, 4942, -4608, -28703"
values_70,7,5,0,"{-27927, 2328, 31394, 7353, -2171"
values_23,8,9,0,"{28459, 1159, 1875, 9796, -996, -31724, -24707, -5636, -9579"
values_72,7,30,0,"{4134, 3034, 16970, -26104, 14266, 14577, 10112, 7459, -6942, -17251, -28603, 14073, -28529, -10573, -312, -1389, -19929, -26232, 6195, 6305, -32013, -19476, -19655, 22728, 19313, -1709, -24518, 12507, 16419, -1089"
values_79,7,12,0,"{23468, 27780, 18315, 11511, 8539, -7854, 10654, -31813, -3465, 25687, -20274, 6881"
values_78,7,15,0,"{-21398, 28789, 4186, -23663, -14122, 12550, -13843, -4766, 27703, -1748, 31626, -5586, -14254, -31946, 21334"
values_87,8,2,0,"{27969, 15784"
values_6,7,26,0,"{17172, -24436, 8978, -16119, 24774, 9474, -18950, -18184, 4320, -3591, 25650, 13269, 23700, -4483, -3850, 4038, -16053, -3625, 31830, -31419, 23261, -13964, -22989, -20219, -10233, 26714"
values_68,5,15,0,"{-10399, -13118, -4237, 32002, -21314, -17945, -30317, -12548, -26414, 25172, -30548, 2905, -12953, 29934, 11928"
values_69,5,12,0,"{-19041, -22911, 31027, -9832, 6540, 27629, 11717, 29906, -253, 30296, -8521, -30696"
values_1,7,10,0,"{-19830, 5625, -1007, 28995, 1924, 31545, -19193, 6001, -8256, 27873"
values_45,1,7,0,"{13022, -16301, -4276, 15089, 20950, 542, 16248"
values_33,7,9,0,"{27360, 12230, 32035, 24928, 25386, -28497, -18958, 7192, -5530"
values_15,4,7,0,"{-28988, 7325, -6176, 12413, 16084, 10993, 32133"
values_93,2,9,0,"{-30379, 19536, -25580, -9190, -7070, 20711, -18031, 21468, -20770"
values_24,8,22,0,"{1059, -13209, -16457, -22616, -12336, 18777, -6204, 27431, -16575, -27096, 29226, 2647, -25869, -19887, 29949, -12217, 10317, -1693, -26782, 16518, 2186, -16445"
values_25,8,7,0,"{14924, 18929, -15518, 24080, -13396, 4664, -28362"
