inputName,nn,isign
11,1,0
19,1,0
12,1,0
38,3,0
81,1,0
5,3,0
40,3,0
70,1,0
23,3,0
72,1,0
79,1,0
78,1,0
87,1,0
6,3,0
68,4,0
69,4,0
1,3,0
45,3,0
33,3,0
15,1,0
93,1,0
24,3,0
25,3,0
26,3,0
48,3,0
71,1,0
76,1,0
7,3,0
50,4,0
22,3,0
4,3,0
32,3,0
77,1,0
91,1,0
42,3,0
13,1,0
41,3,0
55,4,0
31,3,0
66,4,0
65,4,0
62,4,0
21,3,0
95,1,0
84,1,0
58,4,0
64,4,0
83,1,0
94,1,0
0,3,0
99,1,0
96,1,0
67,4,0
61,4,0
43,3,0
2,3,0
54,4,0
30,3,0
59,4,0
85,1,0
74,1,0
90,1,0
18,1,0
52,4,0
44,3,0
17,1,0
36,3,0
49,3,0
86,1,0
37,3,0
56,4,0
63,4,0
35,3,0
97,1,0
75,1,0
57,4,0
88,1,0
10,1,0
53,4,0
8,3,0
39,3,0
47,3,0
60,4,0
89,1,0
51,4,0
14,1,0
28,3,0
16,1,0
34,3,0
82,1,0
46,3,0
27,3,0
20,3,0
9,3,0
92,1,0
3,3,0
98,1,0
29,3,0
80,1,0
73,1,0
